标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,交易价格统一,任务类型
【动画制作】《万物代码》LOGO动画设计,https://task.epwk.com/1095552/,1170.0,6.0,"¥6,000",No312,￥ 6000,￥ 6000,2024-10-31,《万物代码》是一本信息学学术专著。LOGO动画用于相应电子书/实体书的推广。通常用途是置于相关视频片头或片尾。可从附件不同风格的LOGO中任选其一进行动画设计制作。动画风格需与选择的LOGO的风格相匹配。动画中LOGO的颜色和填充可以任意发挥。动画中不需要出现任何和“图书”相关的元素。动画只需要数秒，2~10秒均可。动画不需要太复杂，不需要太多元素，需突出LOGO主体。注意这是LOGO动画设计而不是包含LOGO的动画设计，主体是LOGO本身。动画类型不限，二维三维或二三维结合均可。参与比稿的交稿可以是GIF预览交稿或截图+清晰度相对不高的视频文件网盘地址。最终中标需提供 ：1.超高清视频文件 / 矢量格式视频文件和 2.高清及普通清晰度两个版本的 GIF 文件。请注意任务为多人中标模式，一二等奖中标后均需提供中标作品文件，作品使用权均归雇主方所有。任务不会提前结束，需要充足时间创作的设计者不用担心。,任务编号：1095552,识亿品牌顾问,青春影视,6000.0,动画制作
【短视频营销】抖音短视频拍摄剧本,https://task.epwk.com/851535/,1514.0,27.0,¥200,山东新房通,￥ 200,￥ 200,2020-04-09,公司拍抖音短视频，所以需要剧本文案。文案可分3类：1.情侣搞笑对话，甜蜜对话。2.父母和孩子之间的搞笑对话。3.搞笑段子。大量需求，1个段子100元（重点：要原创！复制粘贴的就别投稿了）,任务编号：851535,仙路漫漫,比卡球01,200.0,短视频营销
【短视频营销】写短视频悬疑段子,https://task.epwk.com/815424/,2694.0,11.0,¥500,na309****36,￥ 500,￥ 500,2019-11-24,时长：20-45s左右作品：短视频悬疑段子脚本、短视频反转段子题材范围：剧情、悬疑、变装、反转内容要求：适合拍成短视频的悬疑或者反转段子。短视频主角为一位女性，人设变装前是平凡邋遢的普通职员，变装后是霸道女总裁！【方向1-悬疑】基于日常生活中的小故事进行创作，可以变装后形象出现，着重悬疑剧情，惊险结尾，突出反转剧情，最好能够结合上当下的实时热点或B站热门梗。或对目前抖音、微视上的热门段子结合人设进行二次改编。参考方向：抖音：柚子CC酱、叶公子最新剧情【方向2-变装反转】基于日常生活中的小故事进行创作，突出反转剧情，最好能够结合上当下的实时热点或B站热门梗。或对目前抖音、微视上的热门段子结合人设进行二次改编。参考方向：抖音：柚子CC酱、叶公子变装剧情,任务编号：815424,一半小时,Samatha,500.0,短视频营销
【剧本创作】写一个剧本内容概要,https://task.epwk.com/803368/,4390.0,5.0,"¥1,000",边缘BianYuan,￥ 1000,￥ 1000,2019-10-16,要求：写一个剧本内容概要，一部关于猪八戒的电影或者电视剧的提纲，不低于一千字左右。需求：新颖、独特、唯美、有吸引力、既要带有情感的，也要夹杂些打斗的。东方各地的风光景色，具备电影元素，集各种矛盾于一体，既诙谐幽默，又在情理之中，要构思巧妙，上下千万年，纵横几万里，一部年轻人喜欢看的电影大片。写好剧本的名字、时间、地点、任务，还有就是整个剧本的对话模式“背景情景”，尤其是舞台说明，人物语言，矛盾冲突。这几个方面要考虑全面。1、介绍：介绍背景资料。2、上升：将时间引向顶点的各种情节，矛盾于阻碍逐渐显现。3、顶点：戏剧张力最强处，从此情节将逐渐转弱。4、下降：顶点过后矛盾形式开始明朗，引向大灾难或者大成功。5、结局：谜底揭晓，剧情完成。,任务编号：803368,o5a35053f0bf15,o5d8b09612100e,1000.0,剧本创作
【短视频营销】写短视频搞笑段子,https://task.epwk.com/735496/,3647.0,7.0,¥100,魔杖的邓布利多,￥ 100,￥ 100,2019-04-16,时长：15-45s左右作品：短视频搞笑段子脚本题材范围：二次元、游戏、热点梗内容要求：适合拍成短视频的搞笑段子。短视频主角为一位虚拟偶像，人设是开朗活泼的元气美少女，来自于游戏世界，能力是可以在任何游戏中穿越。【方向1-日常搞笑】基于日常生活中的小故事进行创作，着重突出反转剧情，最好能够结合上当下的实时热点或B站热门梗。或对目前抖音、微视上的热门段子结合人设进行二次改编。参考方向：抖音momo酱、胡小白、香菜酱【方向2-游戏梗】基于热门游戏或经典游戏中的搞笑故事，进行情景再现。结合主角游戏NPC的属性进行创作或对热门段子进行改编参考方向：比如游戏NPC的一天，假如主角穿越到王者荣耀……【方向3-其他】基于抖音时下热门的特效视频、手势舞、等其他类别视频，结合人设进行脚本撰写参考方向：抖音之前流行的控雨术，时间静止等效果、动漫人物COS、手势舞等,任务编号：735496,自由文案社,o595848e89a858,100.0,短视频营销
【配音配乐】全息能源企业歌词征集,https://task.epwk.com/734165/,6561.0,44.0,"¥5,050",o5c984887bfc7b,￥ 5050,￥ 5050,2019-04-13,为了加强企业文化建设，弘扬全息能源“追风逐日”的企业文化，增强企业凝聚力，更好地展示全息风采，全息能源决定展开企业歌曲歌词部分有奖征集活动。具体细则如下：一、目的和意义企业文化建设是一项系统工程，企业之歌是企业文化最直观的代表符号之一，是健全的企业文化不可或缺的重要元素。一首优秀的企业之歌，凝聚着企业的理念与精神，蕴含着企业的历史与愿景，是企业的主题曲，能够用音乐向公众传递出企业形象；一首优秀的企业之歌，维系着员工的情感与观念，感召着员工的心灵与思想，是员工的共鸣曲，能够产生号召力，形成强大的企业向心力；一首优秀的企业之歌，是企业的精神旗帜、战斗号角、形象标志，为企业发展增添无穷动力。一、征集范围威客所有作词 文案 文学 诗词爱好者 二、核心文化核心关键词：追风逐日。文化象征：夸父（逐日），女娲（追风）。企业精神：共识·方向·行动·未来。企业使命：还地球一片洁净。企业愿景：高效利用自然资源，创造更洁净的能源，与世界共享一片碧水蓝天。奋斗目标：为全球环境治理与保护提供有效的解决方案，推动人与自然和谐共生。核心价值观：以人为本，持续领先。企业战略：保持技术先进性，搭建资本体系，引进与培养人才，构建一个推动产业发展的资源生态链。企业准则：安全高效，清洁环保，和谐共赢。四、歌词要求1、歌词原创，便于传唱。作品要求必须原创，杜绝抄袭，要独具全息能源特色，谢绝放之四海皆可的作品投稿。歌词要朝气蓬勃、奋发向上、朴实自然、朗朗上口、能诵能唱，具有为众人接受和传唱的基础。2、主题鲜明，定位准确。作品要富有时代感和艺术感染力，要能充分诠释全息能源的核心价值理念，着眼于全息能源的企业文化、业绩成就、精神风貌和发展愿景等。3、作品篇幅不宜过长，时长控制在3-5分钟。五、其他相关内容公司网站：http://www.holographicne.com/ ，方便所有参与者了解企业文化，贴近企业文化和调性创作作品。六、为让更多威客选手参与，且不破坏公平性。二名、三名获奖者只为鼓励奖，二、三名获奖者我方承认不含版权。第一名的版权属于我方。,任务编号：734165,o5cafe75c37390,濮阳暖醒,5050.0,配音配乐
"【短视频代运营】征集抖音、快手小故事,要求内容健康积极",https://task.epwk.com/686824/,7006.0,29.0,"¥1,000",mf134****6665,￥ 1000,￥ 1000,2018-11-28,"征集,抖音\快手 小剧本,要求内容健康积极1主要用于拍摄抖音快手等平台小视频, 2故事应交待场景人物动作对话,对话总数量少于10句,3故事内容不得涉黄,不得违反法律法规.故事被采用后，一等奖至五等奖的版权均归征雇主所有，如有抄袭侵权问题，由投稿者承担法律责任。",任务编号：686824,雨打芭蕉   文案·设计,尚客,1000.0,短视频代运营
【图片处理】照片P图征集,https://task.epwk.com/677413/,5025.0,28.0,¥300,那一缕温柔,￥ 300,￥ 300,2018-11-02,第一张图片（命名为1）把人头像p在一排或2排（但不能p在一排的中间4人）不能p在第三排（其他都可以）；第二张图片（不能p在中间三人）其他都可以；要求无缝结合，整体无差异；,任务编号：677413,Cmlish,叶宇韩,300.0,图片处理
【广告片/MV】浙清柔电研究院的情怀（创意）广片（5分钟）的脚本（剧本）撰写,https://task.epwk.com/563109/,6802.0,10.0,"¥6,000",磐石旗厦门,￥ 6000,￥ 6000,2017-12-13,"浙清柔电研究院的情怀（创意）广片（5分钟）的脚本（剧本）设计1、符合清华大学下属高端研究院的品位、档次，高端大气上档次；2、体现出我院的情怀、抱负、目标、价值观、企业文化（幸福研究院、最佳雇主、人才的迦南美地.....），足以吸引我们需要的高端人才看后热血沸腾（类似乔布斯给他的苹果公司策划的经典广告片,你懂得），给我院投递简历；3、吸引很多实力大企业主动联系我们谈科研合作、产业合作等各种合作；4、宣传片时间在5分钟左右；5、因为我院刚刚建院，需要实景拍摄的工作量只是少量，估计不会超过2分钟的出现时长；6、脚本的设计者最好自己有制作、实现的实力、经验，千万不要“设计策划容易，做不出来”——那就杯具了；7、 2018年7月底要使用这个片子，时间进度需要依此倒推进度——7月1日片子可以制作完毕；2018年1月11日脚本的悬赏截止。8、特别欢迎有实力制作该片的品牌机构来先期接这个脚本的策划悬赏，特别是以前就有策划制作类似我院的单位的情怀广告片的成功经验。如果中标，优先考虑让它进入该广告片的制作。该片的制作预算在5-20万的区间。       如果有不清楚的地方，可以与我院负责品牌推广的同事沟通联系、询问。      可以关注我院的微信公众号“浙江清华柔性电子技术研究院”，或者我自己的公众号“清华王博士企业幸福教练”，然后后台提问。-----------------单位简介   浙江清华柔性电子技术研究院是一所新型非营利高端科研机构，坐落于浙江省嘉兴市南湖区科技城创新大厦B座15、16两层（在杭州市也即将建设一个柔性电子全球研发中心，已经有几位美国的顶级科技巨牛、跨领域创新创业的头牌人物/美国科学院、工程院、艺术科学院院士欣然加入我们的研究团队——先保密2个月，与牛人同行，距离牛人零距离）。   柔性院整合清华大学柔性电子技术领域的团队、科技项目，向浙江集聚，依托浙江清华长三角研究院、清华大学航天航空学院、材料学院、化学系、电子系、精仪系等院系的技术、人才力量全力支持。   柔性院将着重研究解决柔性电子技术的前沿科学问题和关键技术，交叉融合柔性电子的不同研究领域，在柔性显示、柔性传感、柔性固体器件与健康医疗仪器等方向的目标是：达到国际领先地位，实现在国际上学术界引领柔性电子技术发展。   柔性院在浙江省建设柔性电子技术研发和产业创新平台，按照“一院（浙清柔电院）一中心（清华大学柔性电子技术交叉学科研究中心），一园（柔性电子产业园）一基金（柔性电子产业成果引导基金及产业基金）”的整体建设思路和模式，着力推进柔性电子产业快速发展，把浙清柔电院建成世界一流水平，研发技术处于世界排头兵位置——“柔性技术、柔性产业，世界看中国，中国看浙江”；科研管理、人才引进体制机制创新试验田的“深圳特区”，有情怀的科技人才向往的迦南美地、幸福职场、最佳雇主、有志青年的“延安圣地”，创新创意达芬奇式人物成功创业起飞的“嘉兴南湖红船”。   我院的院文化第一条是：把论文真正写在祖国的大地上。另外还有其他任务，欢迎参与：浙清柔电研究院的品牌形象宣传片（5分钟）的脚本（剧本）设计：http://www.epwk.com/task/562839/浙清柔电研究院在各大门户网站的形象广告的文案及广告设计：http://www.epwk.com/task/563230/",任务编号：563109,浪花刀坊,杭州木惟影视传媒有限公司,6000.0,广告片/MV
【广告片/MV】浙清柔电研究院的品牌形象宣传片（5分钟）的脚本（剧本）设计,https://task.epwk.com/562839/,4580.0,6.0,"¥6,000",磐石旗厦门,￥ 6000,￥ 6000,2017-12-13,"浙清柔电研究院的品牌形象宣传片（5分钟）的脚本（剧本）设计1、符合清华大学下属高端研究院的品位、档次，高端大气上档次；2、体现出我院的情怀、抱负、目标、价值观、企业文化（幸福研究院、最佳雇主、人才的迦南美地.....），足以吸引我们需要的高端人才看后热血沸腾（类似乔布斯给他的苹果公司策划的经典广告片,你懂得），给我院投递简历；3、吸引很多实力大企业主动联系我们谈科研合作、产业合作等各种合作；4、体现出浙江省对科技创新、引进人才等工作的极端重视；5、宣传片时间在5分钟左右；6、因为我院刚刚建院，需要实景拍摄的工作量只是少量，估计不会超过2分钟的出现时长；7、脚本的设计者最好自己有制作、实现的实力、经验，千万不要“设计策划容易，做不出来”——那就杯具了；8、因为我院2018年1月27日的成立仪式上就要使用这个片子，甚至提前半个月就要在网络上做传播，所以时间进度需要依此倒推进度——1月14日片子可以制作完毕；本月20日脚本的悬赏必须截止。9、特别欢迎有制作本片的品牌机构来先期接这个脚本的策划悬赏。如果中标，优先考虑第2步的制作。制作的预算在5-8万元区间。如果有不清楚的地方，可以与我院沟通联系、询问。可以关注我院的微信公众号“浙江清华柔性电子技术研究院”，或者我自己的公众号“清华王博士企业幸福教练”，然后后台提问。-----------------单位简介   浙江清华柔性电子技术研究院是一所新型非营利高端科研机构，坐落于浙江省嘉兴市南湖区科技城创新大厦B座15、16两层（在杭州市也即将建设一个柔性电子全球研发中心，已经有几位美国的顶级科技巨牛、跨领域创新创业的头牌人物/美国科学院、工程院、艺术科学院院士欣然加入我们的研究团队——先保密2个月，与牛人同行，距离牛人零距离）。柔性院整合清华大学柔性电子技术领域的团队、科技项目，向浙江集聚，依托浙江清华长三角研究院、清华大学航天航空学院、材料学院、化学系、电子系、精仪系等院系的技术、人才力量全力支持。柔性院将着重研究解决柔性电子技术的前沿科学问题和关键技术，交叉融合柔性电子的不同研究领域，在柔性显示、柔性传感、柔性固体器件与健康医疗仪器等方向的目标是：达到国际领先地位，实现在国际上学术界引领柔性电子技术发展。柔性院在浙江省建设柔性电子技术研发和产业创新平台，按照“一院（浙清柔电院）一中心（清华大学柔性电子技术交叉学科研究中心），一园（柔性电子产业园）一基金（柔性电子产业成果引导基金及产业基金）”的整体建设思路和模式，着力推进柔性电子产业快速发展，把浙清柔电院建成世界一流水平，研发技术处于世界排头兵位置——“柔性技术、柔性产业，世界看中国，中国看浙江”；科研管理、人才引进体制机制创新试验田的“深圳特区”，有情怀的科技人才向往的迦南美地、幸福职场、最佳雇主、有志青年的“延安圣地”，创新创意达芬奇式人物成功创业起飞的“嘉兴南湖红船”。我院的院文化第一条是：把论文真正写在祖国的大地上。",任务编号：562839,小様传媒,浪花刀坊,6000.0,广告片/MV
