标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,任务类型
【产品视频】淘宝逛逛视频剪辑外包，一条视频30秒内,https://task.epwk.com/1113777/,2643人,1人,¥50,圆满完成,聚佳尚美CQLgZ,提供产品的视频素材和成品效果，要求根据视频素材，剪辑成一条30秒内的短视频，视频尺寸3:4、封面：3:4。视频效果可以参考3个成品的效果，文案、产品卖点由剪辑师自行发挥，注意：最终做出来的视频，不能跟给的参考视频一样或者类似，需要有差异化,2025-03-10,2025.03.12,任务编号：1113777,50.0,1天,吉林省-长春市,大圣传媒文化工作室,https://shop.epwk.com/0z5o4rvllnjq/,大圣传媒文化工作室,出售服务,https://shop.epwk.com/0z5o4rvllnjq/chushou/,工作室,五品,92分,总 9 次中标，交易总金额,￥1.4万,大圣传媒文化工作室,,,,,,,,,,产品视频
【产品视频】三维建模采景三期款,https://task.epwk.com/1113124/,446人,1人,¥3600,圆满完成,ypwk8****698,项目介绍：搭建上海洋山港及周边区域的三维模型，包括整体建筑群、单体建筑、不规则特殊建筑、桥梁码头等等，需要采集相关实景图片，包括航拍全景图片和平面拍摄图片，【拍摄路径】和【拍摄规范】的详情见附件。设备器材：至少需要相机和无人机。备注：1、拍摄路径需下载谷歌地球才可查看，详情可联系我；2、本项目为整包项目。具体按照签订的合同拍摄,2025-03-07,2025.04.17,任务编号：1113124,3600.0,20天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,产品视频
【产品视频】三维建模采景二期款,https://task.epwk.com/1113123/,230人,1人,¥7200,圆满完成,ypwk8****698,项目介绍：搭建上海洋山港及周边区域的三维模型，包括整体建筑群、单体建筑、不规则特殊建筑、桥梁码头等等，需要采集相关实景图片，包括航拍全景图片和平面拍摄图片，【拍摄路径】和【拍摄规范】的详情见附件。设备器材：至少需要相机和无人机。备注：1、拍摄路径需下载谷歌地球才可查看，详情可联系我；2、本项目为整包项目。具体按照签订的合同拍摄,2025-03-07,2025.04.02,任务编号：1113123,7200.0,20天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,产品视频
【产品视频】三维建模采景一期款,https://task.epwk.com/1113120/,24人,1人,¥7200,圆满完成,ypwk8****698,项目介绍：搭建上海洋山港及周边区域的三维模型，包括整体建筑群、单体建筑、不规则特殊建筑、桥梁码头等等，需要采集相关实景图片，包括航拍全景图片和平面拍摄图片，【拍摄路径】和【拍摄规范】的详情见附件。设备器材：至少需要相机和无人机。备注：1、拍摄路径需下载谷歌地球才可查看，详情可联系我；2、本项目为整包项目。具体按照签订的合同拍摄,2025-03-07,2025.03.07,任务编号：1113120,7200.0,20天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,产品视频
【剪辑服务】懂车帝视频剪辑,https://task.epwk.com/1110445/,249人,1人,¥450,圆满完成,o5f6d607cb1281,懂车帝视频剪辑确定合作者按约定合作,2025-02-24,2025.02.24,任务编号：1110445,450.0,1天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,剪辑服务
【剪辑服务】视频制作一期款,https://task.epwk.com/1109437/,422人,1人,¥11400,圆满完成,徐乂乂,需要做特效部分，转场，以及合成成片(会提供音乐和旁白)   这是初版的时间规划，很有可能根据实际情况调整会提供所有美术方面的文件，特效需要合成全片，具体按照沟通好的制作预算：1秒100内,2025-02-19,2025.02.19,任务编号：1109437,11400.0,7天,浙江省-杭州市,杭州镜中境数字科技有限公司,https://shop.epwk.com/2j5xo446g5xm/,杭州镜中境数字科技有限公司,出售服务,https://shop.epwk.com/2j5xo446g5xm/chushou/,企业,五品,58分,总 1 次中标，交易总金额,￥1.08万,杭州镜中境数字科技有限公司,,三维动画制作,"￥300
            /秒",Mg二维动画,"￥100
            /秒",,,,,剪辑服务
【剪辑服务】懂车帝视频剪辑,https://task.epwk.com/1108950/,155人,1人,¥750,圆满完成,o5f6d607cb1281,懂车帝视频剪辑确定合作者按约定合作,2025-02-17,2025.02.17,任务编号：1108950,750.0,1天,上海市-市辖区,上海光梭行工作室,https://shop.epwk.com/81n41gexynp6/,上海光梭行工作室,出售服务,https://shop.epwk.com/81n41gexynp6/chushou/,个人,四品,65分,总 6 次中标，交易总金额,￥2.2万,上海光梭行工作室,,商业文案服务,"￥3000
            /起",商业影视拍摄,"￥5000
            /起",影视后期制作,"￥1000
            /起",,,剪辑服务
【影视拍摄】企业宣传片剪辑,https://task.epwk.com/1101449/,440人,1人,¥16900,圆满完成,vitorru,多次合作 ，本次已经谈好合作内容，按照谈好的内容展开,2024-12-27,2024.12.27,任务编号：1101449,16900.0,7天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 226 次中标，交易总金额,￥57.14万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起",影视拍摄
【剪辑服务】用AI做房产短视频文案并剪辑,https://task.epwk.com/1100234/,460人,1人,¥100,圆满完成,水上景色,用AI做房产短视频文案并剪辑,2024-12-19,2024.12.19,任务编号：1100234,100.0,1天,重庆市-市辖区,视界剪辑室,https://shop.epwk.com/qgdmjo67odke/,视界剪辑室,出售服务,https://shop.epwk.com/qgdmjo67odke/chushou/,工作室,九品,36分,,,视界剪辑室,,影视后期 视频剪辑,"￥50
            /起",,,,,,,剪辑服务
【剪辑服务】一段酱爆视频简单换贴纸和头像处理,https://task.epwk.com/1099618/,402人,2人,¥100,圆满完成,专客crKqp,短视频点赞上的一段酱爆跳舞视频（约1分30秒），要求将视频中的出场角色换为贴纸头像，添加中英文字幕，去除短视频渠道代运营水印,2024-12-15,2024.12.15,任务编号：1099618,100.0,"3天,1天","河北省-唐山市-路北区,重庆市-市辖区",慧域工作室,https://shop.epwk.com/m7d7wozxp5q8/,慧域工作室,出售服务,https://shop.epwk.com/m7d7wozxp5q8/chushou/,工作室,五品,53分,总 24 次中标，交易总金额,￥1.45万,慧域工作室,,,,,,,,,,剪辑服务
