Source,Target,Type,EdgeType
任务编号：1122480,knowledge:AI换脸直播软件,关联,订单-知识
任务编号：1122480,knowledge:源码,关联,订单-知识
任务编号：1122480,knowledge:源码开源,关联,订单-知识
任务编号：1122480,knowledge:预算,关联,订单-知识
任务编号：1122480,knowledge:加急,关联,订单-知识
任务编号：1120044,knowledge:图像识别,关联,订单-知识
任务编号：1120044,knowledge:反向图片检索,关联,订单-知识
任务编号：1120044,knowledge:数据库图片,关联,订单-知识
任务编号：1117480,knowledge:液压表盘,关联,订单-知识
任务编号：1117480,knowledge:图像识别,关联,订单-知识
任务编号：1117480,knowledge:表盘的刻度,关联,订单-知识
任务编号：1117480,knowledge:照片识别结果,关联,订单-知识
任务编号：1118194,knowledge:程序,关联,订单-知识
任务编号：1118194,knowledge:OCR识别,关联,订单-知识
任务编号：1118194,knowledge:图片报价格,关联,订单-知识
任务编号：1118194,knowledge:markdown格式,关联,订单-知识
任务编号：1118194,knowledge:每天处理,关联,订单-知识
任务编号：1118194,knowledge:指定表头,关联,订单-知识
任务编号：1117899,knowledge:视频大模型,关联,订单-知识
任务编号：1117899,knowledge:数字人,关联,订单-知识
任务编号：1117899,knowledge:AI接口,关联,订单-知识
任务编号：1119640,knowledge:法律问答智能体,关联,订单-知识
任务编号：1119640,knowledge:精准解答,关联,订单-知识
任务编号：1119640,knowledge:法律法规,关联,订单-知识
任务编号：1119640,knowledge:民法,关联,订单-知识
任务编号：1119640,knowledge:刑法,关联,订单-知识
任务编号：1119640,knowledge:常见法律问题,关联,订单-知识
任务编号：1119640,knowledge:合同纠纷,关联,订单-知识
任务编号：1119640,knowledge:劳动争议,关联,订单-知识
任务编号：1119639,knowledge:AI大模型训练,关联,订单-知识
任务编号：1119639,knowledge:AI开发,关联,订单-知识
任务编号：1119639,knowledge:AI问诊,关联,订单-知识
任务编号：1119639,knowledge:北京,关联,订单-知识
任务编号：1119639,knowledge:上海,关联,订单-知识
任务编号：1119639,knowledge:广州,关联,订单-知识
任务编号：1119639,knowledge:南京,关联,订单-知识
任务编号：1119639,knowledge:合肥,关联,订单-知识
任务编号：1119639,knowledge:技术公司联系,关联,订单-知识
任务编号：1119631,knowledge:Python编程AI课程,关联,订单-知识
任务编号：1119631,knowledge:基础语法,关联,订单-知识
任务编号：1119631,knowledge:数据结构,关联,订单-知识
任务编号：1119631,knowledge:函数,关联,订单-知识
任务编号：1119631,knowledge:模块,关联,订单-知识
任务编号：1119631,knowledge:AI实例演示,关联,订单-知识
任务编号：1119631,knowledge:代码纠错,关联,订单-知识
任务编号：1119631,knowledge:作业布置,关联,订单-知识
任务编号：1119631,knowledge:详细批改反馈,关联,订单-知识
任务编号：1119630,knowledge:AI数据分析软件,关联,订单-知识
任务编号：1119630,knowledge:股票分析软件,关联,订单-知识
任务编号：1119630,knowledge:年轻人,关联,订单-知识
任务编号：1119630,knowledge:上海技术公司,关联,订单-知识
任务编号：1122480,knowledge:ai换脸直播软件源码,关联,订单-知识
任务编号：1122480,knowledge:开源,关联,订单-知识
任务编号：1120044,knowledge:对比反馈信息,关联,订单-知识
任务编号：1120044,knowledge:电话沟通,关联,订单-知识
任务编号：1118194,knowledge:转换为指定表头的数据格式,关联,订单-知识
任务编号：1118194,knowledge:不同格式的图片报价格,关联,订单-知识
任务编号：1118194,knowledge:每天,关联,订单-知识
任务编号：1119639,knowledge:技术公司,关联,订单-知识
任务编号：1119639,knowledge:项目比较急,关联,订单-知识
