标题,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【门头设计】展厅平面效果图设计,61人,1人,1000-3000元,圆满完成,门头设计,k8072****75,"称呼:赵女士所在行业:汽车行业组织性质:公司地区:新疆,乌鲁木齐市需求:公司现在有二百亩地，要做一个展厅。通过整理好的资料设计一个关于车辆展厅的平面设计图。，对轻卡，重卡，二手车，挖机等进行分区，比较急完成时间:一星期内预算:2000左右备注：微信号是手机号",2025-04-22,2025.04.30,任务编号：1119868,2200.0,3天,河北省-石家庄市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【效果图设计】农村自建房改造效果图,281人,2人,1000元以内,圆满完成,效果图设计,大员0gNVi,农村自建房改造效果图,2025-03-03,2025.03.10,任务编号：1111908,800.0,"5天,7天","广东省-广州市,广东省-汕头市",憧憬如画全案设计工作室,工作室,八品,36分,,,,,,,,,,,,,,,,,,,,
【酒店宾馆】十间民宿两种房型，装修效果图和施工图设计,353人,2人,1000元以内,圆满完成,酒店宾馆,朗润建筑,十间民宿酒店，两种房型，一种双床房（1.2-1.3米），一种大床房加厨房带小游戏开发桌，需要设计两个房间的效果图和施工图,2025-03-02,2025.03.31,任务编号：1111764,800.0,3天,河北省-石家庄市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【效果图设计】卫生间布局规划设计,515人,3人,1000元以内,圆满完成,效果图设计,优觅rvmkt,住宅一楼公卫，带马桶 淋浴房。面积较小。希望能有实际工程经验的设计师，设计规划淋浴房门，地板，洗手台 置物架 镜子的布局选择。,2024-11-06,2024.12.18,任务编号：1096028,700.0,"3天,1天,5天","河北省-石家庄市,陕西省-西安市,辽宁省-沈阳市",艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【效果图设计】学校景观主题园效果图,457人,1人,1000-3000元,圆满完成,效果图设计,mayuan1007,中学校园主题园设计：设计方案基本已经构思好了了，需要出景观效果图，能看懂CAD布局，懂基础的室外景观施工材料,2024-05-17,2024.06.23,任务编号：1080651,1200.0,7天,河北省-石家庄市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【新房装修】房屋外墙装修设计(已确服务商),392人,1人,1000元以内,圆满完成,新房装修,k7322****22,项目:房屋外墙装修设计称呼:周先生组织性质:个人地区:浙江金华需求:房屋外墙装修设计，雇主是房主，自住房，图片所示，右边打红色框是凸出来的。  就是外墙再做几个设计效果图。 不一样的风格。要求专业的房屋设计师对接详谈。完成时间:未具体明确预算:联系报价,2023-10-13,2023.10.18,任务编号：1060470,600.0,5天,河北省-石家庄市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【医疗机构】手术室工装效果图设计,175人,1人,1000元以内,圆满完成,医疗机构,o5eaecf40a223c,一间37平方的手术室，根据平面布置图建模型（包含基础空间和设备物品）设计搭配墙板、地板和柜体的颜色生成3D溜溜全景效果图,2023-05-18,2023.05.19,任务编号：1041492,500.0,1天,山东省-济宁市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【餐饮饮食】唐风中式餐厅设计，第一期平面布置图,433人,1人,5000-10000元,圆满完成,餐饮饮食,优客REd5L,能提供平面图、施工图以及外展面图。出图快，质量高，能够根据我的需求和预算进行调整设计。提供3D全景图。全程施工的交底指导方案。施工完毕后摆场指导。,2023-03-20,2023.03.28,任务编号：1033582,5400.0,5天,河北省-石家庄市-市辖区,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【效果图设计】乐业驿站效果图设计,286人,1人,1000元以内,圆满完成,效果图设计,k1825****72,项目:乐业驿站效果图设计称呼:李女士 地区:江苏无锡需求:乐业驿站效果图设计，具体看需求介绍,2023-03-14,2023.04.06,任务编号：1032709,500.0,1天,山东省-济宁市,艺弘设计,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【新房装修】新房装修设计，130平方,1090人,2人,1000元以内,圆满完成,新房装修,o5bde99026e049,新房装修设计130平方，三角形房型，老房子，先出平面图,2023-03-13,2023.03.24,任务编号：1032586,500.0,"30天,3天","广东省-佛山市-顺德区,山东省-济宁市",佛山极影文化传媒有限公司,企业,六品,46分,,,施工图效果图室内设计公装门头设计厂房办公室售楼部样板间效果图,"￥100
            /起",佛山工装装修办公空间餐饮娱乐空间设计装修效果图施工图,"￥100
            /起",室内设计新房自建房别墅家装软装背景文化墙展台工装装修施工图,"￥100
            /起",娱乐场所/餐饮/酒吧酒馆/宾馆酒店/民宿室内设计效果图,"￥100
            /起",公装服务酒店民宿品牌设计匠派设计舒适商业空间设计,"￥100
            /起",公装展会展厅门头效果图办公餐饮空间专卖店新房装修服务设计,"￥100
            /起",室内设计家装设计新房装修设计空间设计自建房别墅效果图设计,"￥100
            /起",商业店铺装修室内设计效果图商铺餐饮餐厅SI空间办公室商装设计,"￥100
            /起",,
