标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【其他人工智能】RPROTEUS仿真原理图和程序文件,https://task.epwk.com/1122732/,22人,0人,¥100,投标中,雇佣,,在哔哩哔哩上面有十个视频，用RPROTEUS仿真原理图和程序文件。发图片和视频给我,2025.05.17,,任务编号：1122732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【人脸识别】ai换脸直播软件,https://task.epwk.com/1122480/,94人,0人,1000-3000元,投标中,招标,,联系人：朱先生需求：ai换脸直播软件源码 只要源码开源(方便二开)，预算 2000 加急,2025.05.15,,任务编号：1122480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据采集】一键选股,https://task.epwk.com/1121371/,60人,1人,¥2000,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】反向图片检索,https://task.epwk.com/1120044/,286人,2人,3000-5000元,工作中,招标,,根据拍的2D照片，检索数据库里面的图片，做对比给反馈信息，细节电话沟通,2025.04.23,,任务编号：1120044,￥5000,15天,北京市-北京市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】识别液压表盘制作,https://task.epwk.com/1117480/,467人,5人,5000-10000元,选标中,招标,,"识别类似表盘的刻度,根据照片识别结果",2025.04.03,,任务编号：1117480,￥8000,60天,广东省-广州市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图像识别】AGV小车,https://task.epwk.com/1089088/,230人,1人,¥10,待验收,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】对图片表格进行OCR识别并转换格表头,https://task.epwk.com/1118194/,310人,3人,1000-3000元,圆满完成,招标,黑鹰00一品,开发一个自动化的程序，每天将十多份不同格式的图片报价格进行OCR识别，并转换为指定表头的数据格式，以markdown格式保存。图片格式的报价表和数据样式见附件。,2025.04.10,2025.05.09,任务编号：1118194,￥1500,15天,浙江省-嘉兴市,塞坦科技,https://shop.epwk.com/j7n38j8425e1/,塞坦科技,出售服务,https://shop.epwk.com/j7n38j8425e1/chushou/,企业,五品,64分,总 5 次中标，交易总金额,￥1.64万,塞坦科技,,仓库管理系统WMS,价格面议,AI工业视觉,价格面议,客户关系管理系统CRM,价格面议,企业信息系统,价格面议,教育信息化系统,价格面议,电子商务平台,价格面议,app软件开发,价格面议,erp系统开发,价格面议,软件定制开发,价格面议
【AI接口】视频大模型开发,https://task.epwk.com/1117899/,407人,1人,5000-10000元,圆满完成,招标,ppt达人孙文,生成数字人,2025.04.08,2025.04.08,任务编号：1117899,￥6000,2天,上海市-市辖区,创码天地,https://shop.epwk.com/rp5z4vygwdx3/,创码天地,出售服务,https://shop.epwk.com/rp5z4vygwdx3/chushou/,个人,五品,57分,总 5 次中标，交易总金额,￥1.24万,创码天地,,,,,,,,,,,,,,,,,,,
【大模型应用】AI大模型的软件开发,https://task.epwk.com/1119719/,123人,1人,¥50000,圆满完成,雇佣,k2797****1,"称呼:刘先生
地区:北京
需求:有做过或者现在的AI捜索  AI场景  或者AI大模型、职场社交等方面的案例，有案例的话，提供一下模版产品需求文档，或者产品模型，前端页面或者后台管理系统的，最好是北京的技术公司联系，杭州、深圳、或者其他城市的AI大模型团队有经验做的好都可以，具体详谈",2025.03.14,2025.03.30,任务编号：1119719,￥50000,10天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI战略】制造业智能化转型AI战略,https://task.epwk.com/1119641/,7人,1人,¥15000,圆满完成,直接雇佣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能体训练】法律问答智能体训练,https://task.epwk.com/1119640/,52人,1人,5000-10000元,圆满完成,招标,k1999****0,"1、我需要训练一个法律问答智能体。
2、得让它熟悉各类法律法规，像民法、刑法等。
3、能精准解答常见法律问题，如合同纠纷、劳动争议等。",2025.03.05,2025.03.21,任务编号：1119640,￥10000,7天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI模型训练】AI大模型训练,https://task.epwk.com/1119639/,89人,1人,2万-5万元,圆满完成,招标,k6226****5,擅长AI大模型训练，AI开发，或者AI问诊的团队联系，要求北京，上海，广州，南京，合肥的技术公司联系，项目比较急,2025.03.04,2025.03.20,任务编号：1119639,￥50000,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI服务咨询】电商运营AI服务,https://task.epwk.com/1119718/,51人,1人,¥5000,圆满完成,雇佣,k9765****7,想找电商AI服务咨询，能分析店铺数据，像流量、转化率等，找出问题并给优化方案。能提供选品建议，制定营销推广策略。,2025.03.01,2025.03.16,任务编号：1119718,￥5000,5天,湖南-岳阳市-市辖区,caijunxiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
