标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师,能力标签
【代办/跑腿】六月1号中午发送祝贺儿童节快乐的短信,https://task.epwk.com/866376/,4236人,22人,¥150,o5ed1baf7e363f,150.0,￥ 150,2020-06-01,六月1号中午给15525056930这个手机发送宝儿儿童节快乐的短信。内容不限。,任务编号：866376,地设平面设计工作室,代办/跑腿
【代办/跑腿】六月1号中午发送祝贺儿童节快乐的短信,https://task.epwk.com/866376/,4236人,22人,¥150,o5ed1baf7e363f,150.0,￥ 150,2020-06-01,六月1号中午给15525056930这个手机发送宝儿儿童节快乐的短信。内容不限。,任务编号：866376,我是臭臭,代办/跑腿
【英语】需要中文品牌“沃领”的音译英文名称,https://task.epwk.com/743841/,3233人,38人,¥100,CD_21VIS,100.0,￥ 100,2019-05-07,“沃领”行业定位：教育产业要求：1，不能直接拼音；2，英文发音需接近中文“沃领”发音，符合英文发音习惯；3，音译的单词最好有积极意义或涵义，不能有消极意义联想；英文名称涵义最好和教育行业相关。4、可以直接是一个单词，也可以自造一个字母组合；比如“诺基亚”的英文品牌NOKIA，“宜家”IKEA等等就很好，既符合中文发音又蕴含传统文化亲和力好；5、最好以W字母或者o作为首字母；当然也可以其他发音接近的字母；6，因为设计需要，音译的名称字母不能太长，控制在4-6个字母最佳。7.投稿需附上英文名称相应的涵义。,任务编号：743841,静静静能量,英语
【英语】需要中文品牌“沃领”的音译英文名称,https://task.epwk.com/743841/,3233人,38人,¥100,CD_21VIS,100.0,￥ 100,2019-05-07,“沃领”行业定位：教育产业要求：1，不能直接拼音；2，英文发音需接近中文“沃领”发音，符合英文发音习惯；3，音译的单词最好有积极意义或涵义，不能有消极意义联想；英文名称涵义最好和教育行业相关。4、可以直接是一个单词，也可以自造一个字母组合；比如“诺基亚”的英文品牌NOKIA，“宜家”IKEA等等就很好，既符合中文发音又蕴含传统文化亲和力好；5、最好以W字母或者o作为首字母；当然也可以其他发音接近的字母；6，因为设计需要，音译的名称字母不能太长，控制在4-6个字母最佳。7.投稿需附上英文名称相应的涵义。,任务编号：743841,边向东,英语
【英语】英文品牌翻译,https://task.epwk.com/687655/,4342人,45人,¥100,o5bf934d450640,100.0,￥ 100,2018-11-30,音译一个太阳眼镜品牌KITH要求1. 中文发音与英文 接近2. 中文读音清晰易读，易于传达，发音有力量3. 中文意思积极美好，不带类似 si与方言不吉利同音4. 国际范 容易联想到与潮流时尚有关联，,任务编号：687655,zjh578081375,英语
【英语】英文品牌翻译,https://task.epwk.com/687655/,4342人,45人,¥100,o5bf934d450640,100.0,￥ 100,2018-11-30,音译一个太阳眼镜品牌KITH要求1. 中文发音与英文 接近2. 中文读音清晰易读，易于传达，发音有力量3. 中文意思积极美好，不带类似 si与方言不吉利同音4. 国际范 容易联想到与潮流时尚有关联，,任务编号：687655,技术开启财富之门,英语
【咨询服务】情侣之间误解太深，需出主意调节,https://task.epwk.com/558473/,4419人,13人,¥100,历经沧桑,100.0,￥ 100,2017-11-30,彼此之间有很大的误解，解释无力，无从入手，找不到切入点，需要咨询出主意解决误会问题。,任务编号：558473,星矢科技,咨询服务
【咨询服务】情侣之间误解太深，需出主意调节,https://task.epwk.com/558473/,4419人,13人,¥100,历经沧桑,100.0,￥ 100,2017-11-30,彼此之间有很大的误解，解释无力，无从入手，找不到切入点，需要咨询出主意解决误会问题。,任务编号：558473,莫mmmooo,咨询服务
【英语】音译一个中文品牌名称,https://task.epwk.com/546424/,6997人,33人,¥100,CD_21VIS,100.0,￥ 100,2017-10-23,需要中文品牌“国恒”的音译英文名称“国恒”行业定位：卫星通讯产品、高新技术；要求：1，不能直接拼音；2，英文发音需接近中文“国恒”发音，符合英文发音习惯；3，音译的单词最好有积极意义或涵义，不能有消极意义联想；可以直接是一个单词，也可以自造一个字母组合；比如“诺基亚”的英文品牌NOKIA，“宜家”IKEA等等就很好，既符合中文发音又蕴含传统文化亲和力好；4、最好以G字母作为首字母；当然也可以其他发音接近的字母；5，因为设计需要，音译的名称字母不能太长，控制在4-6个字母最佳。,任务编号：546424,起名取名+翻译,英语
【英语】音译一个中文品牌名称,https://task.epwk.com/546424/,6997人,33人,¥100,CD_21VIS,100.0,￥ 100,2017-10-23,需要中文品牌“国恒”的音译英文名称“国恒”行业定位：卫星通讯产品、高新技术；要求：1，不能直接拼音；2，英文发音需接近中文“国恒”发音，符合英文发音习惯；3，音译的单词最好有积极意义或涵义，不能有消极意义联想；可以直接是一个单词，也可以自造一个字母组合；比如“诺基亚”的英文品牌NOKIA，“宜家”IKEA等等就很好，既符合中文发音又蕴含传统文化亲和力好；4、最好以G字母作为首字母；当然也可以其他发音接近的字母；5，因为设计需要，音译的名称字母不能太长，控制在4-6个字母最佳。,任务编号：546424,o58ce36a78260c,英语
