标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【办公空间】公司外贸部办公室平面图设计,https://task.epwk.com/815981/,3346人,9人,¥400,cngygy,￥ 400,￥ 400,2019.11.26,外贸部1、总经理办公室一个大约30平左右2、业务主管办公室一个大约20-25平左右3、财务室一个大约12-15平左右4、茶水间一个大约在10平左右5、摄影间一个大约9平左右6、客户休息室一个大约在12平左右7、会客室一个大约10-12左右8、会议室一个大约30平左右9、样品间一个大约100-120平左右10、储藏室一个大约50-60左右11、仓库需要250-300平左右，但是要跟办公室隔开，因为要有机械仓储的，不能和办公室混一起。12、接待台大概在10-12平左右13、业务部大概在100平左右14、男女厕（女多男少）15、备用办公室两间，每间大约10平,任务编号：815981,TONYS,凡创设计工程工作室
【办公空间】公司办公室平面图设计,https://task.epwk.com/812892/,3470人,12人,¥300,cngygy,￥ 300,￥ 300,2019.11.15,"需要合理利用空间，尽量合理化， 办公室 规划平面图 ，只需要出平面图 办公室平面图，套内面积约600平方 尽量空间利用充份 部门如下:电商业务部, 150平方左右 40号人左右  开放式，尽量在里面一点隐密一点业务经理办公室,    25平方  1人个    尽量靠进业务部运营经理办公室 ,   15-20平方 1个人   尽量靠进业务部会议室 ,           30平方左右  20个左右开会用会客室 ,           12-15平方  4-6个 用财务室 ,           3个人用 15-20平方 其中一个是经理带有隔断客户休息室,          12-15平方  4个左右休息生产经理 ,         15-20平方左右  1个人用储存室，            100平方左右 需要独立进出口尽量在电梯边上运营室，            15-18平方   4个人用摄影室，            10平方左右茶水间，            10平方左右  茶水间里面有 桌，和洗手，冰箱厕所，              8-10平方  2大一小 如果可以做3大一小最好（带洗脸盘）备用办公室1 ，       15平方左右  3个人用备用办公室2 ，       15平方左右  3个个用如果空间不够用，或多出来，可以把备用办公室 做减少或不要，或增加需要有公司形象背影，公办室，和储存室 尽量分开进出尽量多窗通风",任务编号：812892,止渡艺术空间设计,凡创设计工程工作室
【门头设计】女性会所广告牌设计,https://task.epwk.com/807800/,2998人,9人,¥800,wtw8hh,￥ 800,￥ 800,2019.10.30,1.会所名称：loveliness美学空间2.主营业务：女装 美容  塑形  瑜伽3.广告牌设计要体现会所高端的定位，轻奢，高雅，重点要有区分度4.除提供效果图外，要说明材质和施工工艺5.标志如图一,任务编号：807800,岩淞视觉设计工作室,筑梦空间
【施工图设计】cad平面布局,https://task.epwk.com/800147/,4687人,17人,¥100,壹波设计工坊,￥ 100,￥ 100,2019.10.07,卫生间墙体不能拆除（尽可能增加卫生间面积），其余墙体可拆，要有衣帽间，厨房开放式厨房（安装折叠推拉窗），考虑暖气片暗藏,任务编号：800147,筑梦空间,FW.  rising
"【庭院设计】湖南农村庭院设计,出施工图再加1500",https://task.epwk.com/751915/,8002人,16人,"¥1,180",陈列滨,￥ 1180,￥ 1180,2019.05.25,招标方式：感谢做出方案的威客，方案前三名按此悬赏分享，选最满意的再加1500设计费出施工详图。设计要求：1，根据示意图和现状照片做庭院设计，包括平面图和施工大样图。投标只要提供施工方案平面图即可，有效果图或者施工大样图更好，中标后再进行细化。        2，提示需要考虑的要点：a，围墙大门对车辆出入的转弯半径的要求；b，结合现场地形以及湖南降雨量，考虑排水沟设计；c，现有化粪池盖板已经施工，考虑覆盖物；d，鱼池3~4平方，80cm深。考虑是否需要鱼池净化及绿化滴灌？        我本身是做建筑加固施工的，除了这次自己家的庭院，以后类似的园林业务也需要请设计师进行设计。希望可以长久合作！,任务编号：751915,红石建筑设计工作室,TONYS
【餐饮饮食】美食广场布局图（落位图）设计,https://task.epwk.com/674669/,6790人,9人,"¥1,932",A逍遥子A,￥ 1932,￥ 1932,2018.10.26,我初来乍到一品威客，请多关照。不知是否真有牛人，废话不多说直奔主题。招标目的：美食广场设计--前段（布局设计，落位图）唠叨几句：现在各行竞争都很激烈，身为运营团队的我自认也感到压力好大。所以在规则上我不想让各位浪费太多的、无用的、没有回报的事情。正题：所以前期打算先放布局、落位的任务，请各位大咖、新手脑洞大开，大胆的做出具有创造性的布局图（落位图）最主要是空间利用，空间利用，空间利用，重要的事情说三边。这个格局很有意思，相对还是有点挑战性的，附件里一份cad图。插入一段：我们招商进行过一段儿，自己做过几张布局图，由于不专业，效果不理想。现在我说一下要求：       1：本案是一个美食广场，主要以7.2--7.5平米的小档口为主，兼顾一些              中岛档口和店中店。       2：本案面积3337平米，层高5.2米，各位只用考虑落位布局。       3：我的预期，希望能够设计出基础档口：3米*2.5米，面积在7.2平米---7.5平米的档口数量不低于100个，15--20平米的15--20个，其他面积的自由发挥，可用于租赁总的面积不低于1200平米。          座位数1000个左右，2人座---4人座---6人座。档口以周边为主，中区大厅落位餐区，餐区要预留一个3.5米*3.5米的小演出台。设计不分贵贱，但是如果只是敷衍或者说只是为了成交，那您再看看别的好吧，有问题请联系我，做之前了解一下细节，别闷头干，不要做无用功。希望大家以诚相待。期待各位给我惊喜！！！,任务编号：674669,走心建筑设计,云水禅心设计小作坊
【新房装修】4居室装修建议，样板间照片搜集，每图付款,https://task.epwk.com/657709/,5236人,21人,¥118,耿耿与淮,￥ 118,￥ 118,2018.09.07,"户型如图，卧室在四个方位角，是现代简约风格的精装修房。目前知道的缺点是没有玄关，入户门可以看到洗手间，餐厅位置尴尬，阳台联动主卧，主卧较小。初步想法是在洗手间和客厅间加一个谷仓门或者折叠门；入户门边装一个半通透的隔断，上半部分磨砂玻璃，下半部分鞋柜；主卧阳台改书房。想征集专业人士的意见和建议，或者符合要求的样板间套图。因为自己找图没怎么找到。直接找软装设计师太贵了，之前请过，感觉设计师设计出来，还是忍不住按照自己想法去买东西。所以先看看有没有合适的建议。要符合我家实际情况，随意找的图不行哦。只是一个尝试，设置了5个酬劳名额，符合条件的图片越多，提的建议越好，酬劳就越高。（也没多少钱啦）就当挣个顺手的钱，谢谢~按照悬赏模式付款，真心求建议。                                                                                                    任务附件,户型如图，卧室在四个方位角，是现代简约风格的精装修房。目前知道的缺点是没有玄关，入户门可以看到洗手间，餐厅位置尴尬，阳台联动主卧，主卧较小。初步想法是在洗手间和客厅间加一个谷仓门或者折叠门；入户门边装一个半通透的隔断，上半部分磨砂玻璃，下半部分鞋柜；主卧阳台改书房。想征集专业人士的意见和建议，或者符合要求的样板间套图。因为自己找图没怎么找到。直接找软装设计师太贵了，之前请过，感觉设计师设计出来，还是忍不住按照自己想法去买东西。所以先看看有没有合适的建议。要符合我家实际情况，随意找的图不行哦。只是一个尝试，设置了5个酬劳名额，符合条件的图片越多，提的建议越好，酬劳就越高。（也没多少钱啦）就当挣个顺手的钱，谢谢~按照悬赏模式付款，真心求建议。",任务编号：657709,窝窝de窝窝,吹吹小裤裆
【新房装修】室内设计-前期部分（格局设计）,https://task.epwk.com/651957/,5033人,19人,¥500,域杰装饰工程,￥ 500,￥ 500,2018.08.22,第一次用一品，不知是否真有牛人，废话不多说直奔主题。最终目的：装修设计合作伙伴。目前目的：小三居设计--前段（格局设计）先叨逼几句：现在各行竞争都很激烈，身为装修团队我自认也感到压力好大。所以在规则上我不想让各位浪费太多的  无用的  没有回报的事情。正题：所以前期打算先放格局的标，格局谁中了，接下来谁就接着设计细节施工图，效果图不需要，有个大概的就行，主要是空间利用，空间利用，空间利用，重要的事情说三边。这个格局很有意思，相对还是有点挑战性的，附件里一份cad物业提供的尺寸不是严谨但是95%还是正确的，两张图片，一张是我复尺过的准确数字，一张是基图，都是样张图哈。管道和梁啥的都标好了视频里可以看到。插入一段：昨天发布有人联系 问了好多问题我总结一下       1：四人居住，两个大人  一个11岁小孩  一个一岁小孩，       2：三居室，最好两卫，外圈的窗和内圈的窗是对应的，视频里有介绍，都是钢筋混凝土墙（称重墙） 因为是顶层，不是说所有墙都不能动，而是说合理，只要不整面墙大面积破坏没有事。可以开门洞啥的。       3：设计不分贵贱，但是如果只是敷衍或者说只是为了成交，那您在看看别的好吧，前期联系我的人 有的只是拉关系扯那些没用的套近乎，有的不问细节，闷头干，甚至有的给我说大门位置不合理要换大门位置，这些问题我都懒得理，作为一个设计师那个不知道高层楼房的门都是固定的，往哪挪，所以我还是希望俺们正确自己态度，谁都不是傻子，谁在用心搞谁在敷衍都能看得出来，具体上下水参照我的手绘图。格局合理，在谈合作，或者我现在改变方式，一步一步来，现在先要格局图，格局谁中标，接下来的设计就给谁做。价格作出调整。希望各位第一别怕不中标，若是真心实意谁都不傻，二来可以过滤掉那些二把刀子和不真成的人。 月底要拿到所有图，所以时间比较紧，今天22号，24号出结果。别拖拉设置成两份400和100  是为了怕有两个人做的都相似，视频介绍：https://share.weiyun.com/5m2yNxL,任务编号：651957,铭思空间设计,hmlhsj
【门头设计】地下通道指示标识牌方案设计,https://task.epwk.com/627878/,4274人,7人,"¥1,500",ad0511,￥ 1500,￥ 1500,2018.06.20,项目简述：    提供图片为现有地下通道标识牌式样，因样式陈旧，夜晚发光效果不明显，不能满足现有城市状况要求，新标识牌设计方案在基座不变的基础上，进行标识牌新造型设计和夜晚亮化设计。设计要求：1、基于基座基础进行指示标识牌造型设计，要求与城市街景溶于一体，有品味，指示主体功能不变，材料选择不限制，设计方案具备后期可施工性；2、具备夜晚亮化功能，对亮化方案表述表现，清晰直观；3、LOGO元素及需要元素同旧款图片上元素；4、提供造型设计方案图及白天夜晚的亮化直观效果图；5、造型设计方案应适应不同大小通道口变化，体现城市文化属性更佳；,任务编号：627878,厚名设计工作室,o5ab104d5885d8
【公共场所】水电站门柱及停车场围栏设计,https://task.epwk.com/614463/,2445人,6人,¥900,o5afb8b0c15bff,￥ 900,￥ 900,2018.05.16,1、水电站大门门柱效果图制作，柱子为藏式风格但不能涉及宗教文化。在考虑藏式建筑风格的同时，将中国电建的标志运用进去，加上电动栅栏门，并标注整个门柱所用材质，制作方法。2、水电站露天停车场围墙效果图制作，因停车场为水电站私有，特制作围栏将停车场围起来，防止移动商贩进入其中摆摊。停车场围墙也为藏式风格，同时需要增加中国电建元素。围墙不用完全封死，可选择栅栏形式。同时考虑停车场出入口藏式风格建筑。停车场出入口考虑伸缩式电动栅栏门。3、沿路石墩及护栏改造。在藏式风格的记住上考虑中国电建文化，将二者合二为一。进行石墩及护栏的设计。以上三点均需做实景效果图，且需要两套方案。,任务编号：614463,智酷设计工作室,斊恚设计
