标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【SEO排名优化】上门厨师网站谷歌SEO优化,https://task.epwk.com/1122264/,276人,0人,20万-30万元,投标中,A任务编号：1122264,硬性要求：必须有大型网站SEO优化的成功案例和相关资质，详情见下面的文档需求见文档：【金山文档 | WPS云文档】 谷歌SEO优化服务任务说明（修订版）https://kdocs.cn/l/cerIKNaE47RY,2025-05-14,,任务编号：1122264,20.0,,,B任务编号：1122264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEO排名优化
【口碑营销】幼儿教师文案代写,https://task.epwk.com/970320/,0人,1人,1000元以内,待验收,k5579****98,"项目:幼儿教师文案代写称呼:范先生地区:上海市,上海市需求写一篇幼儿教师的文案，有发文档，明天中文必须收到，字数3000-4000字",2021-11-18,2022.01.27,任务编号：970320,800.0,1天,福建省-龙岩市,品创科技（新媒体）官方旗舰店,https://shop.epwk.com/09drj17yl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【微信代运营】负责对心理学5个微信公众号进行日常运营,https://task.epwk.com/1071595/,1930人,1人,3000-5000元,圆满完成,际尊服RnPJe,要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解,2024-02-18,2024.04.12,任务编号：1071595,3000.0,30天,山东省-青岛市,橙焱创意,https://shop.epwk.com/m7d7wox8r5q8/,橙焱创意,出售服务,https://shop.epwk.com/m7d7wox8r5q8/chushou/,工作室,五品,37分,,,橙焱创意,,主KV、单页设计,"￥1000
            /起",折页、单页设计,"￥1000
            /次",企业vi视觉识别系统设计,"￥1000
            /起",宣传海报、DM单页设计,"￥1000
            /起",画册宣传册设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",logo/VIS设计,"￥1000
            /起",微信代运营
【整合营销】公众号代运营,https://task.epwk.com/1066948/,1825人,1人,3000-5000元,圆满完成,际尊服RnPJe,要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解,2023-12-14,2024.02.18,任务编号：1066948,3000.0,30天,山东省-青岛市,橙焱创意,https://shop.epwk.com/m7d7wox8r5q8/,橙焱创意,出售服务,https://shop.epwk.com/m7d7wox8r5q8/chushou/,工作室,五品,37分,,,橙焱创意,,主KV、单页设计,"￥1000
            /起",折页、单页设计,"￥1000
            /次",企业vi视觉识别系统设计,"￥1000
            /起",宣传海报、DM单页设计,"￥1000
            /起",画册宣传册设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",logo/VIS设计,"￥1000
            /起",整合营销
【微信代运营】公众号代运营,https://task.epwk.com/1063783/,1466人,1人,3000-5000元,圆满完成,际尊服RnPJe,要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解,2023-11-13,2023.12.14,任务编号：1063783,3000.0,30天,山东省-青岛市,橙焱创意,https://shop.epwk.com/m7d7wox8r5q8/,橙焱创意,出售服务,https://shop.epwk.com/m7d7wox8r5q8/chushou/,工作室,五品,37分,,,橙焱创意,,主KV、单页设计,"￥1000
            /起",折页、单页设计,"￥1000
            /次",企业vi视觉识别系统设计,"￥1000
            /起",宣传海报、DM单页设计,"￥1000
            /起",画册宣传册设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",logo/VIS设计,"￥1000
            /起",微信代运营
【微信代运营】负责对心理学5个微信公众号进行日常运营,https://task.epwk.com/1060483/,1036人,1人,3000-5000元,圆满完成,际尊服RnPJe,要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解,2023-10-13,2023.11.13,任务编号：1060483,3000.0,30天,山东省-青岛市,橙焱创意,https://shop.epwk.com/m7d7wox8r5q8/,橙焱创意,出售服务,https://shop.epwk.com/m7d7wox8r5q8/chushou/,工作室,五品,37分,,,橙焱创意,,主KV、单页设计,"￥1000
            /起",折页、单页设计,"￥1000
            /次",企业vi视觉识别系统设计,"￥1000
            /起",宣传海报、DM单页设计,"￥1000
            /起",画册宣传册设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",logo/VIS设计,"￥1000
            /起",微信代运营
【微信代运营】负责对心理学5个微信公众号进行日常运营,https://task.epwk.com/1054999/,1479人,1人,3000-5000元,圆满完成,际尊服RnPJe,要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解,2023-08-24,2023.10.13,任务编号：1054999,3000.0,5天,山东省-青岛市,橙焱创意,https://shop.epwk.com/m7d7wox8r5q8/,橙焱创意,出售服务,https://shop.epwk.com/m7d7wox8r5q8/chushou/,工作室,五品,37分,,,橙焱创意,,主KV、单页设计,"￥1000
            /起",折页、单页设计,"￥1000
            /次",企业vi视觉识别系统设计,"￥1000
            /起",宣传海报、DM单页设计,"￥1000
            /起",画册宣传册设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",IP/吉祥物设计,"￥1000
            /起",产品包装设计,"￥1000
            /起",logo/VIS设计,"￥1000
            /起",微信代运营
【微信代运营】负责对5个微信公众号内容进行编辑和运营,https://task.epwk.com/1045386/,1476人,2人,3000-5000元,圆满完成,际尊服RnPJe,负责对心理学5个微信公众号进行日常运营要求1：每个公众号每天文章不低于5篇，标题指定 每篇字数不低于600字 ，可以借鉴类似文章或用ChatGPT进行创作2：每篇文章需要独立排版3：机构提供素材，由运营酌情使用4：前期没有考核 ，后期 有对访问量等指标的考核5：最好之前从事过相关工作，或对心理学有所了解待遇每月工资3000元,2023-06-14,2023.07.18,任务编号：1045386,3000.0,"30天,3天","河南省-郑州市,山东省-青岛市",河南翼代码信息科技有限公司,https://shop.epwk.com/9w56e49j6dv1/,河南翼代码信息科技有限公司,出售服务,https://shop.epwk.com/9w56e49j6dv1/chushou/,企业,五品,69分,总 4 次中标，交易总金额,￥1.07万,河南翼代码信息科技有限公司,,logo及平面UI设计,"￥500
            /起",导游导览语音讲解,价格面议,微信、短视频渠道加粉小程序/公众号开发,"￥1000
            /起",教育行业系统定制开发,价格面议,医药行业系统开发,价格面议,企业官网、门户网站、VR官网,"￥1980
            /起",微信代运营服务,"￥3000
            /月",新媒体代运营服务,"￥3000
            /月",智慧景区（游客端小程序+管理端可视化平台）,价格面议,微信代运营
【营销解决方案】装修行业门店需要策划一个营销方案,https://task.epwk.com/1005856/,517人,1人,1000-3000元,圆满完成,o62d380aa8ac13,装修行业门店需要策划一个营销方案，具体详谈,2022-07-17,2022.10.11,任务编号：1005856,1500.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",营销解决方案
【网站优化方案】Wordpress 前端网站优化,https://task.epwk.com/995993/,634人,1人,3000-5000元,圆满完成,尊服PQPS7,网站已经建了，现在要做一些前端页面优化。主要需求如下：1. 样式的调整2. 上传文件优化3. 添加少部分内容4. 部分结构的调整5. alt标签添加6. 少量产品图片简单处理7. 加网站Cookies8. 聊天工具设置9. 优化网速10. 项目需求时间一周内,2022-05-13,2022.06.07,任务编号：995993,3000.0,2天,广东省-深圳市,小火花软件,https://shop.epwk.com/j7n38o4x35e1/,小火花软件,出售服务,https://shop.epwk.com/j7n38o4x35e1/chushou/,企业,一品,110分,,,小火花软件,,原型设计,"￥3000
            /起",IT解决方案,"￥20000
            /起",公众号开发,"￥20000
            /起",小程序开发,"￥20000
            /起",企业官网定制,"￥2980
            /起",交互界面设计,"￥1000
            /起",嵌入式设备,"￥1000
            /起",电商系统开发,"￥20000
            /起",logo设计,"￥500
            /起",网站优化方案
