需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1121305,B任务编号：1121305,任务编号：1121305,效果图设计,500.0,2025-05-06
壹选EL9nN,浅茉之设工作室,任务编号：1096845,门头设计,300.0,2024-11-15
益企发gj9MR,奇墨设计,任务编号：1093139,门头设计,500.0,2024-09-30
微服c8RIL,寻隐者建筑园林设计,任务编号：1080677,庭院设计,300.0,2024-05-18
金客QKlfT,心合工作室,任务编号：1058779,其他建筑设计,500.0,2023-09-25
o5a85321badb89,寻隐者建筑园林设计,任务编号：1057230,效果图设计,1500.0,2023-09-12
同君行Y8ZzF,隐形人设计工作室,任务编号：1049056,门头设计,300.0,2023-07-12
mf159****2266,奇墨设计,任务编号：1029538,门头设计,1000.0,2023-02-16
o5a85321badb89,o5e567eddd2042,任务编号：1015793,其他建筑设计,360.0,2022-09-27
o5a85321badb89,寻隐者建筑园林设计,任务编号：1015788,其他建筑设计,720.0,2022-09-27
o6242d57c454f9,数控工作室,任务编号：990384,办公空间,2000.0,2022-04-07
风行水上666,笔映思维 popeopen,任务编号：981929,新房装修,360.0,2022-02-13
尚品N519r,SAN设计工作室,任务编号：969347,施工图设计,150.0,2021-11-13
小丑鱼111,友度品牌设计,任务编号：964588,办公空间,1000.0,2021-10-28
o5ed0b1ebec337,桐檬,任务编号：943452,效果图设计,500.0,2021-07-08
o5d7d2b405566e,京瑜传媒,任务编号：942710,软装设计,720.0,2021-07-04
seasonlone,自在天地工坊,任务编号：942279,其他家装服务,300.0,2021-07-01
o60c3****39361,步同品牌设计,任务编号：939471,软装设计,500.0,2021-06-12
story8234,o5e95bf8cc4bf8,任务编号：939103,餐饮饮食,816.0,2021-06-09
o5c204789ed297,佳瑞设计工作室,任务编号：935140,新房装修,300.0,2021-05-18
qztcweb1zw,自在天地工坊,任务编号：934815,软装设计,688.0,2021-05-16
o60877f17d4dfd,自在天地工坊,任务编号：933512,软装设计,1500.0,2021-05-08
o605174bbd625d,wongcc,任务编号：929847,办公空间,200.0,2021-04-15
cuidonglai,自在天地工坊,任务编号：920728,门头设计,700.0,2021-02-24
o5e1ecadf3ae74,海旭设计,任务编号：919107,其他家装服务,1700.0,2021-02-08
zhouxiaoye,龙蛇映像,任务编号：918501,软装设计,500.0,2021-02-02
o5d9d****5649e,小阿飞_,任务编号：908066,门头设计,500.0,2020-12-03
慧智创意设计,o5d32e2d27b157,任务编号：903393,效果图设计,100.0,2020-11-09
o5eeb151e5c857,是只鸭,任务编号：902682,其他家装服务,800.0,2020-11-04
