标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【门头设计】店铺招牌和形象墙设计,https://task.epwk.com/1096845/,447人,5人,¥300,圆满完成,门头设计,壹选EL9nN,此招牌和形象墙就着原来的底板基材，仅仅更换内容，底色不变。主要大字内容做红色发光字，次要内容做立体小字。素材有好喜彩品牌logo，见附件。招牌主要内容：好喜彩糖果次要内容：囍糖、喜饼、巧克力、新年糖、喜礼、果冻地址：新广丰A区12栋19号    电话：13357240786招牌尺寸：高1.63m宽4.85m形象墙：宽1.96高2.1m,2024-11-15,2024.12.10,任务编号：1096845,300.0,,,浅茉之设工作室,https://shop.epwk.com/v0n1xwg0x57y/,浅茉之设工作室,出售服务,https://shop.epwk.com/v0n1xwg0x57y/chushou/,个人,三品,37分,,,浅茉之设工作室,,,,,,,,,,,,,,,,,,,
【门头设计】公司入口，门头设计,https://task.epwk.com/1093139/,1753人,15人,¥500,圆满完成,门头设计,益企发gj9MR,· 场地信息：公司入口· 功能需求：体大气，上档次· 交付方式：效果图1张，公司名称  XGY广告语   专业工程照明灯具生产商,2024-09-30,2024.10.27,任务编号：1093139,500.0,,,奇墨设计,https://shop.epwk.com/v0n1x1qp057y/,奇墨设计,出售服务,https://shop.epwk.com/v0n1x1qp057y/chushou/,工作室,四品,38分,,,奇墨设计,,新年贺卡设计,"￥500
            /件",宣传折页设计,"￥500
            /件",网页美化,￥1000,字体设计,100,产品包装设计,"￥1000
            /件",海报设计,"￥500
            /件",企业/产品宣传册,"￥150
            /件",企业VIS设计,15000,企业标志设计,"￥1500
            /件"
【庭院设计】别墅室外简单亮化设计,https://task.epwk.com/1080677/,426人,3人,¥300,圆满完成,庭院设计,微服c8RIL,草原小型别墅    增加5-7处正面外墙及前园亮化即可  外墙可布线，但是前园尽量选择太阳能之类的灯具，光线要求暖色系   且可直接淘宝采购的，灯具采购限制在1800元以内     注意：需要提供亮化具体安装点位及采购明细  最好有效果图,2024-05-18,2024.06.13,任务编号：1080677,300.0,,,寻隐者建筑园林设计,https://shop.epwk.com/omdwkjp6qdrp/,寻隐者建筑园林设计,出售服务,https://shop.epwk.com/omdwkjp6qdrp/chushou/,工作室,七品,40分,,,寻隐者建筑园林设计,,厂区建筑园林景观鸟瞰图设计,"￥100
            /日",自建房厂房建筑设计,价格面议,夜景效果图亮化工程灯光效果图设计,价格面议,接建筑园林方案设计，施工图，效果图绘制,"￥100
            /日",,,,,,,,,,
【其他建筑设计】农业景区大门区域3D效果图设计方案,https://task.epwk.com/1058779/,1083人,8人,¥500,圆满完成,其他建筑设计,金客QKlfT,农业景区大门区域3D效果图设计要求 一、任务需求：1、在原大门的区域设计出新大门区域的3D效果图(需含大门右边景区广场及大门左边停车场的入口效果展示)2、大门右边区域的景区不限大小（不可跨过农田及建材店）3、大门左边区域的生态停车场不限大小（不可跨过高压电塔及旧建筑物） 二、整体设计要求：1、整体设计应以中华田园风为主题2、整体设计可以贴切现代农业产业园的科技风、抽象风等风格3、整体设计需符合主营服务内容：农业、研学、文旅、共享农庄4、整体设计要求新颖，让游客们来到后觉得眼前一亮，使游客不自觉的拍照打卡留念5、该区域为非建设用地（地面不可硬底化） 三、作品提交要求：1、作品使用软件不限，可自由发挥2、作品需包含大门3D效果图(含大门右边景区广场及大门左边的停车场入口) 四、知识产权要求：1、作品均需未被商用或授权他人使用，必须为原创作品2、不可抄袭、盗用他人作品，且作品版权未移交他人（如作品中含有素材元素属于非原创的，默认为创作者已经获取了版权的使用授权许可）3、作品提交后，我司拥有展示、商用、复制、推广、宣传、展览等权利，不另付稿酬，不受地域限制4、我司在支付酬金后，我司即刻拥有该作品的完整著作权，包括该著作权的财产权及人身权5、最终结果公布后，未被选定的作品，即可自行处理,2023-09-25,2023.10.18,任务编号：1058779,500.0,,,心合工作室,https://shop.epwk.com/omdwk90ywdrp/,心合工作室,出售服务,https://shop.epwk.com/omdwk90ywdrp/chushou/,工作室,九品,38分,,,心合工作室,,,,,,,,,,,,,,,,,,,
【效果图设计】服装样板间设计,https://task.epwk.com/1057230/,3054人,12人,¥1500,圆满完成,效果图设计,o5a85321badb89,位置:第三层办公楼，房间尺寸是长34米*宽8.5米，共9间。地面到梁下高3.3m到房顶高5.08m，楼梯间开口6*3.6m，要求有服装陈列区洽谈区卫生间请提供设计方案1，需要展厅装修后的效果图2，是工厂内的服装展示区，3    卫生间1-2个就行4，可以需要一个换衣间,2023-09-12,2024.10.26,任务编号：1057230,1500.0,,,寻隐者建筑园林设计,https://shop.epwk.com/omdwkjp6qdrp/,寻隐者建筑园林设计,出售服务,https://shop.epwk.com/omdwkjp6qdrp/chushou/,工作室,七品,40分,,,寻隐者建筑园林设计,,厂区建筑园林景观鸟瞰图设计,"￥100
            /日",自建房厂房建筑设计,价格面议,夜景效果图亮化工程灯光效果图设计,价格面议,接建筑园林方案设计，施工图，效果图绘制,"￥100
            /日",,,,,,,,,,
【门头设计】幼儿园门头设计,https://task.epwk.com/1049056/,747人,6人,¥300,圆满完成,门头设计,同君行Y8ZzF,幼儿园门头 经营介绍：“世纪精灵幼儿园是一家以国学文化为主的幼儿园要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出国学文化元素;3、能体现特色，LOGO已有，4、附上创意说明。5、材料可以考虑铝单板知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;,2023-07-12,2023.08.04,任务编号：1049056,300.0,,,隐形人设计工作室,https://shop.epwk.com/omdwkv97mdrp/,隐形人设计工作室,出售服务,https://shop.epwk.com/omdwkv97mdrp/chushou/,工作室,一品,53分,,,隐形人设计工作室,,企业电商详情页设计,"￥1000
            /起",产品字体设计,"￥500
            /起",产品海报设计,"￥1000
            /起",企业产品画册设计,"￥300
            /页",产品包装设计,"￥1000
            /起",logo品牌标志设计,"￥500
            /起",,,,,,
【门头设计】内蒙古牛肉干连锁店店面设计,https://task.epwk.com/1029538/,1490人,10人,¥1000,圆满完成,门头设计,mf159****2266,1·简约大气的风格2·有原生态的元素3·不要出现蓝天白云，太俗4门牌上有LOGO，牛肉干，非遗传承，全国连锁NO.123,2023-02-16,2023.03.11,任务编号：1029538,1000.0,,,奇墨设计,https://shop.epwk.com/v0n1x1qp057y/,奇墨设计,出售服务,https://shop.epwk.com/v0n1x1qp057y/chushou/,工作室,四品,38分,,,奇墨设计,,新年贺卡设计,"￥500
            /件",宣传折页设计,"￥500
            /件",网页美化,￥1000,字体设计,100,产品包装设计,"￥1000
            /件",海报设计,"￥500
            /件",企业/产品宣传册,"￥150
            /件",企业VIS设计,15000,企业标志设计,"￥1500
            /件"
【其他建筑设计】厂房外观改造，面板全部更换，包括窗户，请提供外观设计效果,https://task.epwk.com/1015793/,1543人,5人,¥360,圆满完成,其他建筑设计,o5a85321badb89,厂房外观改造，面板全部更换，包括窗户，请提供外观设计效果，尺寸8222米，高度11米,2022-09-27,2022.11.07,任务编号：1015793,360.0,,,o5e567eddd2042,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他建筑设计】办公楼改造设计,https://task.epwk.com/1015788/,4946人,13人,¥720,圆满完成,其他建筑设计,o5a85321badb89,原来二层改为三层，外观统一改造,2022-09-27,2023.03.30,任务编号：1015788,720.0,,,寻隐者建筑园林设计,https://shop.epwk.com/omdwkjp6qdrp/,寻隐者建筑园林设计,出售服务,https://shop.epwk.com/omdwkjp6qdrp/chushou/,工作室,七品,40分,,,寻隐者建筑园林设计,,厂区建筑园林景观鸟瞰图设计,"￥100
            /日",自建房厂房建筑设计,价格面议,夜景效果图亮化工程灯光效果图设计,价格面议,接建筑园林方案设计，施工图，效果图绘制,"￥100
            /日",,,,,,,,,,
【办公空间】办公楼面和庭院创意概念性设计方案,https://task.epwk.com/990384/,1723人,8人,¥2000,圆满完成,办公空间,o6242d57c454f9,"公司介绍广东态合堂实业有限公司，于2006年成立，旗下多家公司致力发展林业、林下经济、健康产业等""林业+""项目，业务范围广泛，具备专业的人员队伍和技术水平，建设经验成熟。态合堂先后获评市级、省级和国家级林下经济示范基地的荣誉称号，获评广东省林业龙头企业和国家林业重点龙头企业，并正在建设广东惠州国家林药科技示范园区，为当地林业的发展不断贡献力量。主办单位广东态合堂实业有限公司作品要求1.设计者以图文结合等方式做方案创意设计，办公楼外立面设计要有公司林业特色，需要满足人们对森林的各种需求得到释放，林业新经济概念（含大生态概念）。有循环经济、共享经济、未来经济，另外，装修和设计选材上面可以选择低碳环保、二手的材料，增加公司低碳形象，融入我们共同建设未来地球。2.内容为办公楼外立面外观、楼外的庭院，发挥自己的设计创意能力。制作一个初步概念性设计方案，方案内有整体的设计框架、色彩、空间布局和创意点的说明，思路要清晰明了，在效果图旁标注好每个地方用的材料。3.不得违反《中华人民共和国商标法》的有关规定，须为原创作品，为第一次发布，未侵犯他人的著作权，如有侵权，由设计者承担所有法律责任。",2022-04-07,2022.04.24,任务编号：990384,2000.0,,,数控工作室,https://shop.epwk.com/89dvgvvmldl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【新房装修】民宿宾馆装修设计,https://task.epwk.com/981929/,1734人,5人,¥360,圆满完成,新房装修,风行水上666,自建房，准备开个民宿宾馆，总计7间，15.513.5米，210平左右，阳台尺寸目前实际1.2米。附件房型供参考，客厅改为1个单间，东南角改为多人间，阳台走廊有门，无卫生间。西北角一大间带上卫生间。,2022-02-13,2022.02.25,任务编号：981929,360.0,,,笔映思维 popeopen,https://shop.epwk.com/omdwkjm4wdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
