需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122556,B任务编号：1122556,任务编号：1122556,商业建筑,1.0,2025-05-15
A任务编号：1119504,B任务编号：1119504,任务编号：1119504,效果图设计,200.0,2025-04-20
A任务编号：1076862,B任务编号：1076862,任务编号：1076862,餐饮饮食,120.0,2024-04-11
A任务编号：928956,B任务编号：928956,任务编号：928956,别墅设计,1000.0,2021-04-12
A任务编号：910678,B任务编号：910678,任务编号：910678,园林设计,200.0,2020-12-17
A任务编号：803492,B任务编号：803492,任务编号：803492,效果图设计,500.0,2019-10-16
A任务编号：765922,B任务编号：765922,任务编号：765922,效果图设计,300.0,2019-07-01
A任务编号：397054,B任务编号：397054,任务编号：397054,效果图设计,1500.0,2015-12-16
jz114****97,艺弘设计,任务编号：1110509,商业空间,600.0,2025-02-24
jcdzzm,艺弘设计,任务编号：1099535,自建房,600.0,2024-12-14
心静1211,艺弘设计,任务编号：1097663,商业空间,1800.0,2024-11-26
威品ciPAt,艺弘设计,任务编号：1096489,效果图设计,800.0,2024-11-11
k3882****95,指上花开©品牌设计,任务编号：1081268,门头设计,800.0,2024-05-24
五花马红木家具,艺弘设计,任务编号：1081094,施工图设计,480.0,2024-05-22
五花马红木家具,禾晟创意,任务编号：1079940,商业空间,500.0,2024-05-12
致利昂QEzSK,青韵设计工作室,任务编号：1056834,效果图设计,300.0,2023-09-08
o5f6f3790ca7ae,青韵设计工作室,任务编号：1053443,办公空间,700.0,2023-08-12
吾艺方舟品牌设计,艺弘设计,任务编号：1050681,商业空间,2000.0,2023-07-24
mf186****4363,艺弘设计,任务编号：1049328,园林设计,600.0,2023-07-14
mf186****4363,艺弘设计,任务编号：1048829,园林设计,700.0,2023-07-11
阿图摄影,艺弘设计,任务编号：1031914,教育场所,200.0,2023-03-07
竹林听雨123,艺弘设计,任务编号：1029187,新房装修,1500.0,2023-02-13
唯创6ZDoa是,方木空间设计,任务编号：1015043,展台展厅,400.0,2022-09-21
o5cde0e765b85b,你说我画—设计工作室,任务编号：1013512,新房装修,1500.0,2022-09-09
k2697****34,佛山极影文化传媒有限公司,任务编号：1012363,施工图设计,5000.0,2022-08-31
丨素梦,郑州合观品牌设计与服务,任务编号：1006149,餐饮饮食,800.0,2022-07-19
Es丶释迦,曦宸设计,任务编号：1005867,施工图设计,1700.0,2022-07-17
享客堂hcZf3,方木空间设计,任务编号：1005738,餐饮饮食,2000.0,2022-07-16
Es丶释迦,曦宸设计,任务编号：1004964,施工图设计,2000.0,2022-07-12
WChongYu,方木空间设计,任务编号：1002209,展台展厅,750.0,2022-06-24
vitorru,亿赞智合●商标品牌符号设计,任务编号：1002083,效果图设计,1000.0,2022-06-23
旭诺空调11,你说我画—设计工作室,任务编号：1001433,效果图设计,200.0,2022-06-20
o607053dbe4105,维度品牌設计工作室,任务编号：1001578,效果图设计,600.0,2022-06-20
花郎,屿舟设计,任务编号：1000424,效果图设计,1600.0,2022-06-13
尚佳rng5H,米兰全案设计,任务编号：995824,效果图设计,3000.0,2022-05-12
sun13****74607,曦宸设计,任务编号：995160,其他建筑设计,300.0,2022-05-09
o5ad748dfebb8f,DF室内设计工作室,任务编号：992982,效果图设计,500.0,2022-04-23
领域之巅yZpdG,广东红点创意设计有限公司,任务编号：969425,其他公装设计,3000.0,2021-11-14
丨素梦,米兰全案设计,任务编号：967603,新房装修,200.0,2021-11-03
o6165****5a78f,你说我画—设计工作室,任务编号：966986,商业空间,400.0,2021-11-02
o6165****5a78f,米兰全案设计,任务编号：959937,效果图设计,200.0,2021-10-12
k2818****8,美当高端定制设计,任务编号：963310,自建房,5000.0,2021-10-12
k4790****7,纯点空间设计,任务编号：963953,舞台设计,2000.0,2021-10-11
k6220****9,阳光店铺设计,任务编号：963954,舞台设计,500.0,2021-10-11
k8323****2,k467718740,任务编号：963306,自建房,50000.0,2021-10-11
k2009****6,美当高端定制设计,任务编号：963307,自建房,50000.0,2021-10-11
k3407****4,壹零壹空间设计,任务编号：963309,自建房,20000.0,2021-10-11
k3796****7,k531286305,任务编号：963308,自建房,30000.0,2021-10-11
k1127****2,吉美艺术设计,任务编号：964117,样板间,25000.0,2021-10-11
k9569****3,设计人花爷,任务编号：963088,娱乐休闲,25000.0,2021-10-10
k9080****3,所见空间设计,任务编号：963947,舞台设计,4000.0,2021-10-10
k5463****4,行者空间设计,任务编号：962804,复式设计,5000.0,2021-10-10
k5625****1,三千建筑设计,任务编号：963928,复式设计,2000.0,2021-10-10
k4065****5,旗帜品牌设计,任务编号：961328,舞台设计,1000.0,2021-10-10
k9093****5,k435750856,任务编号：963949,舞台设计,1000.0,2021-10-10
k5706****4,河南仟佰迦设计,任务编号：963948,舞台设计,2000.0,2021-10-10
k7614****5,大王设计工作室,任务编号：963305,自建房,20000.0,2021-10-10
k8265****8,餐饮店室内设计,任务编号：963304,自建房,25000.0,2021-10-10
k2049****6,k467718740,任务编号：963303,自建房,50000.0,2021-10-10
k4115****3,骏邦设计,任务编号：964138,医疗机构,2000.0,2021-10-10
k4548****0,天异视觉设计,任务编号：967246,舞台设计,3000.0,2021-10-09
k1434****6,雅颂设计,任务编号：966565,自建房,20000.0,2021-10-09
k4480****1,瀚蓝设计,任务编号：966853,医疗机构,8000.0,2021-10-09
k1060****1,新简筑设计,任务编号：966851,医疗机构,5000.0,2021-10-08
k6758****8,咫尺设计,任务编号：967241,舞台设计,1000.0,2021-10-08
k8530****3,集简空间设计,任务编号：966846,喷泉设计,5000.0,2021-10-08
k7526****7,k129414321,任务编号：967079,复式设计,8000.0,2021-10-08
k6574****6,银翼效果图设计表现,任务编号：966839,喷泉设计,5000.0,2021-10-07
k9765****7,盛合设计,任务编号：966838,喷泉设计,8000.0,2021-10-07
k3526****3,东舍室内设计,任务编号：966240,商业建筑,2000.0,2021-10-07
k9095****8,k890964452,任务编号：963960,舞台设计,2000.0,2021-10-07
k1323****1,九毫米空间设计,任务编号：963961,舞台设计,2000.0,2021-10-07
k8525****2,那作创意设计公司,任务编号：966837,喷泉设计,8000.0,2021-10-07
k2716****1,三创设计工作室,任务编号：966835,喷泉设计,5000.0,2021-10-06
k9558****1,赫筑餐饮空间设计,任务编号：966236,商业建筑,1000.0,2021-10-06
k1711****0,家是室内设计,任务编号：966822,工程造价,2000.0,2021-10-06
k1750****3,大章设计,任务编号：963914,导视设计,3000.0,2021-10-06
k4142****5,雅颂设计,任务编号：963957,舞台设计,2000.0,2021-10-06
k5553****0,威臣装饰工程设计,任务编号：966832,喷泉设计,10000.0,2021-10-06
k8749****2,雲尚设计工作室,任务编号：966834,喷泉设计,10000.0,2021-10-06
k7526****7,岩槿设计,任务编号：966561,自建房,2000.0,2021-10-06
k1821****2,逸典装饰设计,任务编号：966246,医疗机构,5000.0,2021-10-06
k8817****7,小猪餐饮设计,任务编号：966237,商业建筑,1000.0,2021-10-06
k9192****6,名设公装设计,任务编号：966833,喷泉设计,10000.0,2021-10-06
k7161****6,k531286305,任务编号：964132,样板间,3000.0,2021-10-06
k2005****1,新馨家居设计,任务编号：964131,样板间,500.0,2021-10-06
k4291****5,坤华设计工作室,任务编号：963942,复式设计,3000.0,2021-10-05
k3992****6,AH商业空间设计,任务编号：963941,复式设计,2000.0,2021-10-05
k1821****2,k576963778,任务编号：966243,医疗机构,1500.0,2021-10-05
k6340****1,北易辰设计,任务编号：966230,商业建筑,1500.0,2021-10-05
k8987****7,淄博前景空间设计,任务编号：965744,工程造价,5000.0,2021-10-05
k4743****0,三分田设计,任务编号：966231,商业建筑,1000.0,2021-10-05
k1284****7,海木办公家具设计,任务编号：966051,喷泉设计,50000.0,2021-10-05
k9080****3,逢辉设计顾问,任务编号：965558,娱乐休闲,1000.0,2021-10-05
k2215****6,毕索思空间设计,任务编号：965559,娱乐休闲,1000.0,2021-10-05
k6379****7,曲高建筑装饰设计,任务编号：963940,复式设计,1000.0,2021-10-05
k8897****7,咫尺设计,任务编号：963956,舞台设计,3000.0,2021-10-05
k3462****3,金和设计工作室,任务编号：966229,商业建筑,20000.0,2021-10-05
k8323****2,k173928739,任务编号：963943,复式设计,5000.0,2021-10-05
k5064****6,鑫铂装饰设计,任务编号：966053,喷泉设计,8000.0,2021-10-05
k7498****0,店铺视觉形象设计,任务编号：966371,娱乐休闲,3000.0,2021-10-05
k6876****9,黑马创意装饰设计,任务编号：966052,喷泉设计,10000.0,2021-10-05
k2856****5,大千世界空间设计,任务编号：964126,样板间,1000.0,2021-10-05
k1885****5,萤火虫设计_独立设计师,任务编号：964127,样板间,2000.0,2021-10-05
k3844****5,空间设计师丶效果图,任务编号：964128,样板间,3000.0,2021-10-05
k2049****6,唯東设计,任务编号：963321,自建房,1500.0,2021-10-05
k6198****9,徐哲（独立设计师）,任务编号：963320,自建房,800.0,2021-10-05
k3884****6,室内设计、灯光设计,任务编号：963322,自建房,3000.0,2021-10-05
k7619****9,易临达观装饰工程设计策划,任务编号：966228,商业建筑,50000.0,2021-10-05
k1935****1,顷禾装饰设计,任务编号：963938,复式设计,2000.0,2021-10-04
k1939****6,婴知道设计,任务编号：965248,商业建筑,40000.0,2021-10-04
k7460****6,亚蓝特设计,任务编号：965892,喷泉设计,5000.0,2021-10-04
k9064****8,k865074339,任务编号：964123,样板间,2000.0,2021-10-04
k8897****7,黎然设计工作室,任务编号：965240,商业建筑,50000.0,2021-10-03
k4873****3,麦点品牌设计定制,任务编号：963937,复式设计,2000.0,2021-10-03
k9972****2,京羿视觉装饰设计,任务编号：963936,复式设计,1000.0,2021-10-03
k2797****1,k886170732,任务编号：965242,商业建筑,2000.0,2021-10-03
k7619****9,逢辉设计顾问,任务编号：965241,商业建筑,2000.0,2021-10-03
k8953****7,设计人花爷,任务编号：964980,工程造价,5000.0,2021-10-03
k4519****9,斑马设计工作室,任务编号：964979,工程造价,5000.0,2021-10-03
k3356****6,k755475967,任务编号：961329,喷泉设计,40000.0,2021-10-03
k6548****8,唯東设计,任务编号：965243,商业建筑,1000.0,2021-10-03
k4863****9,银翼效果图设计表现,任务编号：965557,娱乐休闲,1500.0,2021-10-03
k4842****8,婴知道设计,任务编号：964122,样板间,2000.0,2021-10-03
k2938****5,清晰空间设计,任务编号：963316,自建房,3000.0,2021-10-03
k2111****3,七芒星装饰设计,任务编号：964142,医疗机构,3000.0,2021-10-03
k5910****1,雅和空间设计,任务编号：963315,自建房,1000.0,2021-10-03
k7431****1,筑8设计,任务编号：965238,商业建筑,2000.0,2021-10-02
k9978****2,王本设计机构,任务编号：963932,复式设计,1000.0,2021-10-02
k7526****7,天异视觉设计,任务编号：963909,导视设计,40000.0,2021-10-02
k6198****9,那作创意设计公司,任务编号：963933,复式设计,3000.0,2021-10-02
k7267****6,A+图纸深化设计,任务编号：964141,医疗机构,6000.0,2021-10-02
k4128****6,大地空间概念设计,任务编号：964120,样板间,1500.0,2021-10-02
k4664****6,苏舒设计工作室,任务编号：964771,工程造价,4000.0,2021-10-02
k6379****7,九毫米空间设计,任务编号：964140,医疗机构,3000.0,2021-10-02
k9095****8,k519318507,任务编号：963311,自建房,1000.0,2021-10-02
k9508****4,方向店铺设计,任务编号：962939,娱乐休闲,2000.0,2021-10-01
k7614****5,九毫米空间设计,任务编号：962940,娱乐休闲,2500.0,2021-10-01
k8545****5,静阁空间设计,任务编号：962702,医疗机构,3000.0,2021-10-01
k3019****5,格律设计,任务编号：962696,样板间,1500.0,2021-10-01
k2005****1,夏鼎设计,任务编号：961324,工程造价,5000.0,2021-10-01
k8545****5,玖猫设计工作室,任务编号：962704,娱乐休闲,1500.0,2021-10-01
k4786****8,君道空间设计,任务编号：962697,样板间,3000.0,2021-10-01
k9772****7,拍档设计,任务编号：961322,娱乐休闲,1200.0,2021-10-01
k3796****7,k531286305,任务编号：962700,医疗机构,2000.0,2021-10-01
k3011****5,乔治室内设计,任务编号：961320,样板间,1000.0,2021-10-01
k1355****2,清晰空间设计,任务编号：962701,医疗机构,2000.0,2021-10-01
k6758****8,鑫博新设计,任务编号：962467,复式设计,15000.0,2021-10-01
k4915****6,思间设计中心,任务编号：961319,复式设计,800.0,2021-10-01
k2938****5,品言设计空间,任务编号：962466,复式设计,4000.0,2021-10-01
k8385****6,思间设计中心,任务编号：961318,导视设计,10000.0,2021-10-01
k7431****1,k961182550,任务编号：962465,复式设计,1000.0,2021-10-01
k3272****4,俱东风文创设计,任务编号：961321,医疗机构,1000.0,2021-10-01
k1906****3,所见空间设计,任务编号：962703,医疗机构,5000.0,2021-10-01
k9765****7,筑8设计,任务编号：966863,医疗机构,5000.0,2021-09-30
k5564****5,k374008976,任务编号：967736,娱乐休闲,1000.0,2021-09-30
k2327****8,尚淼设计,任务编号：967737,娱乐休闲,2000.0,2021-09-30
k6178****6,银翼效果图设计表现,任务编号：966573,自建房,1000.0,2021-09-30
k4406****7,名视设计,任务编号：971304,样板间,3000.0,2021-09-30
k4790****7,婴知道设计,任务编号：971329,复式设计,1000.0,2021-09-30
k5799****1,梵不高设计,任务编号：967738,娱乐休闲,2000.0,2021-09-30
k4880****1,拓昇装饰设计工程,任务编号：966862,医疗机构,10000.0,2021-09-29
k9340****0,千唐装饰设计,任务编号：967734,娱乐休闲,1500.0,2021-09-29
k1880****2,骏邦设计,任务编号：966861,医疗机构,1000.0,2021-09-29
k9732****0,永空间设计,任务编号：971327,复式设计,10000.0,2021-09-29
k7893****2,谷瑞空间营造设计工作室,任务编号：967733,娱乐休闲,1200.0,2021-09-29
k1939****6,感觉空间设计,任务编号：966859,医疗机构,1000.0,2021-09-28
k3483****2,k519318507,任务编号：966860,医疗机构,5000.0,2021-09-28
k8385****6,华艺装修设计,任务编号：967730,娱乐休闲,500.0,2021-09-28
k6929****6,印刻空间设计,任务编号：967731,娱乐休闲,500.0,2021-09-28
k4188****5,空间展示设计,任务编号：966572,自建房,1000.0,2021-09-27
k4291****5,顶构定制家具展厅设计,任务编号：966571,自建房,1000.0,2021-09-27
k8363****8,山东北川设计,任务编号：967852,样板间,2000.0,2021-09-27
邬路遥,米兰全案设计,任务编号：957352,其他家装服务,100.0,2021-09-26
k1060****1,莫宁空间设计,任务编号：967729,娱乐休闲,1000.0,2021-09-25
k6753****7,黑马创意装饰设计,任务编号：966569,自建房,800.0,2021-09-25
k3796****7,幻悟空间设计,任务编号：966856,医疗机构,2000.0,2021-09-25
k6895****8,壹点壹客设计,任务编号：966567,自建房,2000.0,2021-09-24
k2268****6,毕索思空间设计,任务编号：966568,自建房,2500.0,2021-09-24
o61475d1c18192,河南礼诚装饰工程有限公司,任务编号：956177,效果图设计,500.0,2021-09-20
k3114****6,k649574198,任务编号：958237,其他家装服务,1000.0,2021-09-14
vitorru,深圳山河品牌顾问,任务编号：929765,展台展厅,2400.0,2021-04-15
vitorru,深圳山河品牌顾问,任务编号：929764,展台展厅,1600.0,2021-04-15
Wang020121,北京美陈广告有限公司,任务编号：927906,效果图设计,500.0,2021-04-05
o5f8d0ca0b9ef2,呈昊装饰设计,任务编号：927048,施工图设计,300.0,2021-03-30
邦居工作室,饭饭设计@_@,任务编号：926978,效果图设计,800.0,2021-03-30
luo35****049,匠行天下,任务编号：917262,施工图设计,100.0,2021-01-25
luo35****049,圆舟传媒,任务编号：917120,施工图设计,100.0,2021-01-23
o5f624aa92dc47,炫世霜狼软件科技,任务编号：893110,效果图设计,800.0,2020-09-17
张生张生,EdisonN,任务编号：881857,施工图设计,200.0,2020-07-31
wuwowuta,昆明众石嘉创文化传播,任务编号：874691,效果图设计,600.0,2020-07-01
独孤一正,爱岩文化传媒,任务编号：870177,办公空间,200.0,2020-06-13
竹林听雨123,鲸跃传媒有限公司,任务编号：866983,庭院设计,2000.0,2020-06-02
o5ea2a3f8b5cb1,昆明众石嘉创文化传播,任务编号：861905,效果图设计,600.0,2020-05-17
o5eb2f04a170db,神彩源设计策划,任务编号：858800,别墅设计,1000.0,2020-05-07
o5e9dbcfb06f1b,鲸跃传媒有限公司,任务编号：854573,效果图设计,2000.0,2020-04-20
o5e78c86e92745,广州品创商业空间店面设计（室内设计）,任务编号：846745,效果图设计,300.0,2020-03-24
竹林听雨123,广州品创商业空间店面设计（室内设计）,任务编号：834357,效果图设计,500.0,2020-02-06
o5ac2a1991bcfc,映善中国,任务编号：816595,效果图设计,3000.0,2019-11-28
o5da04b164849d,威创设计工作室,任务编号：815508,施工图设计,680.0,2019-11-25
健康从选择开始,中创品牌设计策划,任务编号：813788,软装设计,700.0,2019-11-19
武林小猪,凰辰设计工作室,任务编号：809750,其他公装设计,300.0,2019-11-06
o5dad134c9a5e7,热思设计,任务编号：804666,展台展厅,4000.0,2019-10-21
o5d988d8d0bf00,绘梦笔文化创意,任务编号：799918,效果图设计,2000.0,2019-10-06
vitorru,众智创想,任务编号：793291,软装设计,1200.0,2019-09-12
o5d689b83db270,凰辰设计工作室,任务编号：792012,施工图设计,2600.0,2019-09-08
易成微服,上海暔尚广告设计公司,任务编号：789552,店铺厂房,500.0,2019-09-01
o5d689b83db270,凰辰设计工作室,任务编号：788861,施工图设计,1000.0,2019-08-30
wangjia0468,盘根设计,任务编号：779148,效果图设计,150.0,2019-08-04
k7378****03,爱岩文化传媒,任务编号：778952,效果图设计,500.0,2019-08-03
o5cb7f56204f9f,上海暔尚广告设计公司,任务编号：778867,商业空间,600.0,2019-08-03
xujun16998,爱岩文化传媒,任务编号：776998,效果图设计,500.0,2019-07-29
o5d2e77761ad32,绘梦笔文化创意,任务编号：776158,效果图设计,400.0,2019-07-26
yan24****638,爱岩文化传媒,任务编号：773369,其他家装服务,100.0,2019-07-19
凌晨凌晨凌晨,上海暔尚广告设计公司,任务编号：772084,施工图设计,500.0,2019-07-16
o5d2bd62e66e43,上海暔尚广告设计公司,任务编号：771611,效果图设计,1000.0,2019-07-15
