标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link
【商业建筑】需求北京做深化设计施工图设计的设计师,https://task.epwk.com/1122556/,78人,0人,¥1000,投标中,雇佣,,需求北京做深化设计施工图设计的设计师,2025.05.15,,任务编号：1122556,,,,,
【效果图设计】设计门厅效果图,https://task.epwk.com/1119504/,455人,1人,¥200,工作中,雇佣,,设计门厅效果图,2025.04.20,,任务编号：1119504,￥200,200天,河北省-石家庄市,,
【餐饮饮食】家具效果图设计,https://task.epwk.com/1076862/,1657人,1人,¥120,工作中,雇佣,,我是做红木家具圆台的，需要做20张豪华餐厅圆台和椅子摆放的效果图。先做3张，然后做20张,2024.04.11,,任务编号：1076862,￥120,3天,广东省-中山市-中山市,,
【别墅设计】别墅庭院围墙景观设计,https://task.epwk.com/928956/,8237人,1人,¥1000,待验收,雇佣,,别墅庭院围墙景观设计，别墅已经建好，需要设计围墙，设计要求现代感的。具体的电话联系沟通,2021.04.12,,任务编号：928956,￥1000,5天,上海市-市辖区,,
【园林设计】庭院景观效果图设计,https://task.epwk.com/910678/,7804人,2人,¥200,待验收,雇佣,,要有鱼池，山水，植物，停车位2个。只要效果图。,2020.12.17,,任务编号：910678,"￥200,￥200","3天,4天","河北省-廊坊市-安次区,河南省-安阳市",,
【效果图设计】楼顶设计党建元素,https://task.epwk.com/803492/,3532人,3人,¥500,待验收,雇佣,,楼顶是一块闲置的空地，在空地一侧拟建一个有党建元素的文化园，结合此空地，因地制宜，发挥设计理念。目前，根据有些单位的做法，做了有五大伟人从西柏波走来的雕塑，还有用砖头做好后在砖上雕刻一些语录、口号。还有一点就是，空地上面有梁，地面到梁大概也就2m的样子。设计面积在布局图的右上角，即党建文化一块。请根据附件设计可操作的额设计图，总面积估计在6个平方左右,2019.10.16,,任务编号：803492,"￥500,￥500","8天,3天","广西壮族自治区-贺州市-八步区,广东省-深圳市",,
【效果图设计】室内装修平面图和效果图设计,https://task.epwk.com/765922/,9212人,30人,¥300,待验收,雇佣,,室内装修设计，不要施工图，就平面图和效果图。找个人威客接单,2019.07.01,,任务编号：765922,"￥300,￥300,￥300,￥300,￥300,￥300,￥300,￥300,￥300,￥300,￥300,￥300","4天,3天,3天,300天,3天,3天,5天,3天,7天,2天,5天,1天","贵州省-贵阳市-云岩区,福建省-福州市-福清市,云南省-昆明市-禄劝彝族苗族自治县,天津市-天津市-和平区,湖南省-长沙市-雨花区,北京市-北京市-东城区,江苏省-南京市-秦淮区,江西省-抚州市-崇仁县,四川省-成都市-市辖区,山东省-东营市-东营区,广东省-惠州市-惠城区,广东省-深圳市-福田区",,
【效果图设计】三室两厅效果图制作,https://task.epwk.com/397054/,20079人,4人,¥1500,待验收,雇佣,,需要找人做效果图可以长期合作的，具体QQ联系,2015.12.16,,任务编号：397054,￥1500,8天,广东省-深圳市-龙岗区,,
【商业空间】零工市场装修效果图制作,https://task.epwk.com/1110509/,282人,1人,¥600,圆满完成,雇佣,jz114****97,找人设计一个零工市场效果图。要求：零工服务场所面积原则上不小于100㎡，原则上采取所在市或者县（市、区）+具体 位置+零工市场（零工驿站、零工超市等）的命名模式。标识统一，应悬挂于零工市场入口显著位置。应设置综合服务区、岗位对接区、生活服务区。综合服务区应设置专门服务窗口，主要提供求职（用工）登记、技能培训、劳动维权、政策咨询服务。岗位对接区设置劳务交易洽谈和求职用工信息发布两个功能区域，用于供需双方开展外包对接；生活服务区主要针对供求双方提供休息、饮水取用等生活服务。应配备信息发布屏、众包展位终端、公告宣传栏等基本服务设施设备应配备写字桌台、休息座椅、空调通风、户外停车、手机充电等便民服务设施设备。应配备电脑、电话、打印机、复印机等必要办公设施设备。,2025.02.24,2025.03.15,任务编号：1110509,￥600,1天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【自建房】庭院设计,https://task.epwk.com/1099535/,340人,1人,¥800,圆满完成,雇佣,jcdzzm,庭院墙景，鱼池，路径，灯光设计，面积约70平方米，设计部分为黄线区域，3D效果图，施工图，加微信给到参考效果,2024.12.14,2025.01.17,任务编号：1099535,￥600,3天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【商业空间】商业空间设计,https://task.epwk.com/1097663/,91人,1人,¥1800,圆满完成,雇佣,心静1211,商业空间设计，已谈好合作细节。,2024.11.26,2024.11.30,任务编号：1097663,￥1800,1天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【效果图设计】科技公司办公楼入口外立面设计,https://task.epwk.com/1096489/,225人,1人,¥800,圆满完成,雇佣,威品ciPAt,科技公司办公楼入口外立面及标识设计要求:简洁、‌现代感、科技感。体现其行业特色和技术感，‌通过设计元素的创新，‌展现公司的科技实力和创新精神。标识设计可使用中英文双语。,2024.11.11,2024.11.27,任务编号：1096489,￥800,4天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【门头设计】网吧的门头设计确定合作者,https://task.epwk.com/1081268/,480人,1人,¥800,圆满完成,雇佣,k3882****95,称呼:谢女士地区:湖南益阳（服务商地域不限）需求:网吧的门头设计，第一次装修，具体详谈预算:报价联系备注 微信号是手机号,2024.05.24,2024.08.29,任务编号：1081268,￥800,7天,重庆市-市辖区,指上花开©品牌设计,https://shop.epwk.com/j7n3880995e1/
【施工图设计】家具效果图设计，剪辑成小视频,https://task.epwk.com/1081094/,178人,1人,¥480,圆满完成,雇佣,五花马红木家具,红木家具的效果图AI生成，有参考的样板,2024.05.22,2024.05.31,任务编号：1081094,￥480,5天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【商业空间】家具效果图设计,https://task.epwk.com/1079940/,236人,1人,¥500,圆满完成,雇佣,五花马红木家具,家具的效果图设计，有样稿，做2个场景，每一个场景做一个效果图，共计20个，最后做成视频，总金额2000元,2024.05.12,2024.05.22,任务编号：1079940,￥500,7天,广东省-中山市-中山市,禾晟创意,https://shop.epwk.com/2j5xoj49x5xm/
【效果图设计】餐饮店吧台操作效果图设计,https://task.epwk.com/1056834/,236人,1人,¥300,圆满完成,雇佣,致利昂QEzSK,做个快餐店吧台效果图,2023.09.08,2023.10.07,任务编号：1056834,￥300,3天,山东省-淄博市,青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/
【办公空间】设计一面背景墙,https://task.epwk.com/1053443/,340人,1人,¥700,圆满完成,雇佣,o5f6f3790ca7ae,"请帮忙设计一面背景墙我们是一个工厂,工厂主要出口外贸这面墙是我们工厂进门的一个玄关我们想用来展示我们做过的客人的品牌logo,如果空间允许,我们也可以添加一些生产标准(比如说ISO9001)logo我希望是不规则,无顺序,无大小的铺放在墙面上,可以接受任何风格的设计,墙体有预埋电线图片是我预想的效果有兴趣请随时联系我进一步沟通图3和图4 是实际墙面的照片图5是尺寸",2023.08.12,2023.09.08,任务编号：1053443,￥700,7天,山东省-淄博市,青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/
【商业空间】店面空间展示设计初稿小样,https://task.epwk.com/1050681/,118人,1人,¥2000,圆满完成,雇佣,吾艺方舟品牌设计,已谈好合作方,2023.07.24,2023.07.31,任务编号：1050681,￥2000,3天,河北省-石家庄市-长安区,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
【园林设计】绿化配套cad平面图和鸟瞰图设计第二期,https://task.epwk.com/1049328/,158人,1人,¥600,圆满完成,雇佣,mf186****4363,一家食品公司旁边的5000平方配套设计（长85米，宽60米）要求:1.要有15间宿舍，错落分布（单层建筑）2.一个接待室3.一条水系4.先画CAD平面给老板确认   再画一张鸟瞰图,2023.07.14,2023.07.21,任务编号：1049328,￥600,5天,河北省-石家庄市-长安区,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/
