标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段8_link,赏金总额1,字段9_link,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,字段1,字段2,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19
【电话调查】车辆产品信息调查（车门锁与充电口盖的锁能联动的电动汽车）,https://task.epwk.com/1084550/,590人,4人,¥500,圆满完成,威享9Njv9,"＜委托内容＞　请收集具有以下＜技术说明＞一栏中所述技术的车辆产品信息（或服务信息）。 ＜技術说明＞该技术用于使电动汽车的车门锁与充电口的盖子的锁进行联动。电动汽车设有给电动汽车电池充电的充电口。用户可以通过将充电桩的充电连接器连接到充电口来为电池充电。充电口设有盖子。电动汽车存在的一个问题是，别人可以随意打开充电口的盖子。为了解决这个问题，这项技术的电动汽车将车门的锁与充电口盖子的锁联动起来。具体来说，当用户锁上车门时，充电口的盖子也会锁上。请在本次任务中寻找这项技术。 <<注意事项>>本次调查对象的车辆品牌限于※中国品牌。截止时间2024年7月7日。 <要求＞请提交明确的证据关于所涉产品的详细信息、销售该产品的公司名称、及计划销售该产品的公司。证据包括网站、YouTube等视频、维修手册、实物照片、车辆用户说明书（手册）等。 请明确指出作为证据的网站或YouTube等视频的URL链接。请明确指出上述技术的公开者。 [例1]★技术细节YouTube：""URL链接""时间：2:30～3:15产品名：""MODEL S"" 公司名：""TESLA"" [例2]★技术细节URL: URL链接记载部分：第二段落产品名：""MODEL S"" 公司名：""TESLA"" ""计划销售""一词包括正在开发的产品。如果证据中明确写出了开发该产品的公司名，则满足支付要求。请按照您比较有把握的顺序列出信息。",2024.06.27,2024.07.27,任务编号：1084550,￥ 500,4,幻灯奇艺坊,https://shop.epwk.com/m7d7wovzp5q8/,￥ 500,https://shop.epwk.com/m7d7wovzp5q8/chushou/,个人,五品,36分,,,,,,,,,,,,,,,,,,,,
【电话调查】车辆产品信息调查（电动汽车电池快速充电）,https://task.epwk.com/1084549/,371人,5人,¥500,圆满完成,威享9Njv9,"＜委托内容＞　请收集具有以下＜技术说明＞一栏中所述技术的车辆产品信息（或服务信息）。 ＜技术说明＞该技术是为电动汽车配备的电池进行快速充电。电动汽车存在的一个问题是是电池充电时间长。为了解决这个问题，这项技术的电动汽车配备了2个快速充电口和1个普通充电口。每个充电口都可以连接充电连接器，为电池充电。请在本次任务中寻找这项技术。 <<注意事项>>本次调查对象的车辆品牌限于※中国品牌。截止时间2024年7月7日。 <要求＞请提交明确的证据关于所涉产品的详细信息、销售该产品的公司名称、及计划销售该产品的公司。证据包括网站、YouTube等视频、维修手册、实物照片、车辆用户说明书（手册）等。 请明确指出作为证据的网站或YouTube等视频的URL链接。请明确指出上述技术的公开者。 [例1]★技术细节YouTube：""URL链接""时间：2:30～3:15产品名：""MODEL S"" 公司名：""TESLA"" [例2]★技术细节URL: URL链接记载部分：第二段落产品名：""MODEL S"" 公司名：""TESLA"" ""计划销售""一词包括正在开发的产品。如果证据中明确写出了开发该产品的公司名，则满足支付要求。请按照您比较有把握的顺序列出信息。",2024.06.27,2024.07.27,任务编号：1084549,￥ 500,5,幻灯奇艺坊,https://shop.epwk.com/m7d7wovzp5q8/,￥ 500,https://shop.epwk.com/m7d7wovzp5q8/chushou/,个人,五品,36分,,,,,,,,,,,,,,,,,,,,
【电话调查】车辆产品信息调查（显示电池老化程度的电动汽车）,https://task.epwk.com/1084548/,215人,3人,¥500,圆满完成,威享9Njv9,"＜委托内容＞　征集具有以下＜技术说明＞一栏中所述技术的车辆产品信息（或服务信息）。 ＜技术说明＞该技术用于显示电动汽车电池的老化程度。电动汽车配备的电池一旦使用就开始老化。长年使用的电池只能充一点点电。电动汽车存在的问题是，用户无法知道电动汽车的电池老化到什么程度了。为了解决这个问题，这项技术的电动汽车在显示装置上显示电池的老化状态。具体来说就是在电动汽车的显示屏或者用户的手机上显示电池的老化状态。请在本次任务中寻找这项技术。 <<注意事项>>本次调查对象的车辆品牌限于※中国品牌。截止时间2024年7月7日。 <要求＞请提交明确的证据关于所涉产品的详细信息、销售该产品的公司名称、及计划销售该产品的公司。证据包括网站、YouTube等视频、维修手册、实物照片、车辆用户说明书（手册）等。 请明确指出作为证据的网站或YouTube等视频的URL链接。请明确指出上述技术的公开者。 [例1]★技术细节YouTube："" URL链接""时间：2:30～3:15产品名：""MODEL S"" 公司名：""TESLA"" [例2]★技术细节URL: URL链接记载部分：第二段落产品名：""MODEL S"" 公司名：""TESLA"" ""计划销售""一词包括正在开发的产品。如果证据中明确写出了开发该产品的公司名，则满足支付要求。请按照您比较有把握的顺序列出信息。",2024.06.27,2024.07.27,任务编号：1084548,￥ 500,3,幻灯奇艺坊,https://shop.epwk.com/m7d7wovzp5q8/,￥ 500,https://shop.epwk.com/m7d7wovzp5q8/chushou/,个人,五品,36分,,,,,,,,,,,,,,,,,,,,
【电话调查】车辆产品信息调查,https://task.epwk.com/1084545/,291人,4人,¥500,圆满完成,威享9Njv9,"＜委托内容＞　请收集具有以下＜技术说明＞一栏中所述技术的车辆产品信息。 ＜技术说明＞　此技术用于在电动车(EV)模式行驶时，通知驾驶员踩下多少油门踏板才会启动并运转引擎。在混合动力车辆的行驶过程中存在一个问题。例如驾驶员在停止引擎的EV模式下踩下油门踏板时，尽管驾驶员希望维持EV模式，但由于动力不足导致引擎开始运转。为了解决这个问题，车辆内设有一个指示器，其可以显示能够维持EV模式的油门操作量，以便驾驶员通过屏幕确认。请在本次悬赏任务中寻找这项技术。 <<注意事项>>本次调查对象的车辆品牌限于※中国品牌。截止时间2024年7月7日。 <要求＞请提交明确的证据关于所涉产品的详细信息、销售该产品的公司名称、及计划销售该产品的公司。证据包括网站、YouTube等视频、维修手册、实物照片、车辆用户说明书（手册）等。 请明确指出作为证据的网站或YouTube等视频的URL链接。请明确指出上述技术的公开者。 [例1]★技术细节YouTube：""URL链接""时间：2:30～3:15产品名：""MODEL S"" 公司名：""TESLA"" [例2]★技术细节URL: URL链接记载部分：第二段落产品名：""MODEL S"" 公司名：""TESLA"" ""计划销售""一词包括正在开发的产品。如果证据中明确写出了开发该产品的公司名，则满足支付要求。请按照您比较有把握的顺序列出信息。",2024.06.27,2024.07.27,任务编号：1084545,￥ 500,4,糖九粥z,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,
【电话调查】车辆产品信息调查,https://task.epwk.com/1072181/,337人,3人,¥400,圆满完成,小蜜蜂7297J,<委托内容>　请收集具有以下<技术说明>一栏中所述技术的车辆产品信息。 <技術说明>　此技术通过车辆内搭载的平视显示器、方向盘、座椅等警告装置，通过其振动、声音、光学显示等方式向驾驶员发出警告，从而提高车辆驾驶的安全性。此技术的困难之处在于，当驾驶员注意力下降时，由于驾驶员难以对警告做出反应，可能导致无法提高车辆驾驶的安全性。为了解决这个课题，将执行以下多种警告。首先，当驾驶员没有看向车辆前方时，发出第一次警告。如果驾驶员没有看向前方并且没有握住方向盘时，在第一次警告后进行第二次警告。第一次警告与第二次警告是不同类型的警告。请在本次悬赏中寻找这项技术。 <<注意事項>>本次调查对象的车辆品牌限于※美国、欧洲、中国和韩国品牌。截止时间2024年2月29日。 <要求>请提交明确的证据关于所涉产品的详细信息、销售该产品的公司名称、及计划销售该产品的公司。证据包括网站、YouTube等视频、修理手册、实物照片、车辆用户说明书（手册）等。 请明确指出作为证据的网站或YouTube等视频的URL链接。请明确指出上述技术的公开者。 [例1]★技术细节YouTube：URL链接时间：2:30～3:15产品名：MODEL S 公司名：TESLA [例2]★技术细节URL: URL链接记载部分：第二段落产品名：MODEL S 公司名：TESLA 计划销售一词包括正在开发的产品。如果证据中明确记载了开发该产品的公司名，则满足支付要求。请按照您信心顺序列出信息。,2024.02.26,2024.05.02,任务编号：1072181,￥ 400,7,广州生职软件有限责任公司,https://shop.epwk.com/z2nkzp3lxnqy/,￥ 400,https://shop.epwk.com/z2nkzp3lxnqy/chushou/,企业,七品,37分,,,,,,,,,,,,,,,,,,,,
【征集点子】给中药产品起名字，食字号,https://task.epwk.com/1047297/,1587人,42人,¥166,圆满完成,威迈力4TYe1,公司品牌为东方本草·念奴娇，现给能作用于.，增补肾之元气，对过劳、年龄增长、身体损伤后形成肾气亏损的中药产品起名字，为片剂，肝肾产品均为片剂，谢谢,2023.06.30,2023.08.12,任务编号：1047297,￥ 166,45,那一家店,https://shop.epwk.com/78dljx2re5lx/,￥ 166,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】急需，为一家中高端女士塑身衣品牌门店提出创意点子！,https://task.epwk.com/1041520/,923人,15人,¥400,圆满完成,人间精品,一个定位为“美体塑形管家”的中高端女士塑身衣品牌，在它的品牌门店中：1.做什么样的可视化体验设计，才能吸引顾客进店瞧瞧？2.做什么样的可视化体验设计，才能让顾客愿意购买？3.门店服务需要做什么体验设计，才能让顾客使用后愿意重复购买？4.门店服务需要做什么体验设计，才能让顾客使用后帮我们主动传播？希望大家发挥经验和智慧，多多思考，提出让人眼前一亮和可执行的创意点子！谢谢！,2023.05.18,2023.06.06,任务编号：1041520,￥ 400,20,臻威Jimmy,https://task.epwk.com/javascript:;,￥ 400,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】急需求助！关于一款保暖内衣的创意点子！,https://task.epwk.com/999220/,1521人,9人,¥500,圆满完成,人间精品,我有一款山茶油保暖衣！需要你来思考创意，塑造价值，构思点子，怎么将它卖出去！产品简介：这款山茶油保暖衣运用精细萃取工艺，从山茶花籽、叶、花中提取出山茶油成分，采用全球高性能纤维技术，面料中揉入油酸胶囊，并且能长久留存在面料中，不会因为久穿久洗而减少、消失。请你针对以下几个方面做出解答：1.      这款山茶油保暖衣解决了用户最大的痛点是什么？（也就是为什么消费者会购买这款保暖衣，选择它的理由是什么）2.      怎么能卖出高价值来？3.      针对什么群体去卖呢？4.      传播一句什么话能让消费者买单？,2022.06.06,2022.08.12,任务编号：999220,￥ 500,9,林墨mo,https://task.epwk.com/javascript:;,￥ 500,,,,,,,,,,,,,,,,,,,,,,,,
【营销解决方案】业务拓展的营销策划,https://task.epwk.com/995288/,1295人,5人,¥600,圆满完成,创意就是生产力,给一个在线做五行命理分析断卦转运的占卜大师做业务拓展，可以利用什么渠道，什么推广方式，或者营销活动能够找到精准客户，拓展业务量。,2022.05.10,2022.10.03,任务编号：995288,￥ 600,6,威我cv6ef,https://task.epwk.com/javascript:;,￥ 600,,,,,,,,,,,,,,,,,,,,,,,,
【征集点子】寻找几类轻小好产品,https://task.epwk.com/968402/,1475人,14人,¥400,圆满完成,herngee,先参考几个产品：手电筒/手机/手表产品不大，但有价值，产品生产和开产，有一定的门槛。有特定喜欢的群体。会因为产品的材料不同，功能参数不同，而不同。（可以随时更新迭代，且一年四季都可以使用）如手电筒，可以做不同的外观大小，不同的材料，不同的灯珠，不同的流明数，一群户外爱好者，特别喜欢的产品，体积不大，轻小。但是，普通铝合金的，便宜。如果想要特殊材料的，有红铜，黄铜，钛合金等材料，可以做成艺术品。产品相对较贵。 手机和手表，也是同样的道理。 目前，想找几个类似于以上三个产品，相似属性的产品线  要求：体积重量：产品不大，0.5KG以内，能在0.3KG以内的最好。有功能参数（电子产品类）的差别。或者从材料设计（非电子产品类）的差别，做出来的产品，有溢价。有特定喜欢的群体。成本从低到高都可以有。最低端的版本，成本不超50元最佳。 一年四季都可以销售的产品，产品本身，就是一个产品，而不是某个产品的配件（如手机配件等） 烂大街的产品就先不考虑了，如蓝牙耳机等。,2021.11.08,2022.02.01,任务编号：968402,￥ 400,16,喵星人文案,https://shop.epwk.com/81n41qzxenp6/,￥ 400,,,,,,,,,,,,,,,,,,,,,,,,
